patent_id,title,assignee,assignee_type,jurisdiction,priority_date,filing_date,pub_date,ipc,tech_category,claim_checked,legal_status,expiry_note,significance,confidence,confidence_reason
US4829000A,Reconstituted basement membrane complex with biological activity,The United States of America as represented by the Secretary of the,정부기관,US,1985-08-30,1986-05-27,1989-05-09,A61K35/50 ; C12N5/00 ; A61K35/12,기저막추출물·탈세포화 ECM,청구항 확인,만료(Expired - Lifetime),만료 확인. 예상만료일 2006-05-09(등록일 1989-05-09 + 17년). 원천특허이며 현재 공중영역,"EHS 육종 유래 재구성 기저막 조성의 원천특허. 라미닌 60-85%·콜라겐IV 5-30%·니도겐/HSPG/엔탁틴 조성비와 3.7 mg/mL 이상 농도, 24-37도 20분 겔화를 독립항에 기재",상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
EP0218065B1,Reconstituted basement membrane complex with biological activity,US HEALTH,정부기관,EP,1985-08-30,1986-08-22,1991-08-14,A61K35/50 ; C12N5/00 ; C12N5/02,기저막추출물·탈세포화 ECM,청구항 확인,만료(Expired - Lifetime),만료 확인. 예상만료일 2006-08-22(출원일 1986-08-22 + 20년). 원천특허이며 현재 공중영역,US4829000A의 유럽 대응특허. 동일 조성비 청구. AT/DE 지정,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US5158874A,Determining metastic potential of tumor cells and isolating metastic tumor cells,The United States of America as represented by the Department of Health,정부기관,US,1985-08-30,1988-12-29,1992-10-27,A61K35/50 ; C12N5/00 ; G01N33/50,기저막추출물·탈세포화 ECM,청구항 확인,만료(Expired - Lifetime),만료 확인. 예상만료일 2009-10-27(등록일 1992-10-27 + 17년). 공중영역,재구성 기저막을 이용한 종양세포 침윤능 평가법. 조성물 자체가 아닌 용도 청구,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US8642339B2,Culture medium for epithelial stem cells and organoids comprising the stem cells,Koninklijke Nederlandse Akademie van Wetenschappen,대학·연구기관,US,2009-02-03,2010-02-03,2014-02-04,C12N5/02,기저막추출물·탈세포화 ECM,청구항 확인,등록·유효(Active),예상만료 2030-02-03,Lgr5 오가노이드 배양 원천특허. 독립항이 상피줄기세포를 세포외기질과 함께 배양하는 단계를 포함 — 매트릭스 사용을 전제로 한 플랫폼 권리,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US9752124B2,Culture medium for epithelial stem cells and organoids comprising the stem cells,Koninklijke Nederlandse Akademie van Wetenschappen,대학·연구기관,US,2009-02-03,2011-07-29,2017-09-05,C12Q1/02 ; C12N5/02 ; C12N5/071,기저막추출물·탈세포화 ECM,청구항 확인,등록·유효(Active),예상만료 2030-11-30,위 특허의 계속출원. 3차원 오가노이드 조성물 청구,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
EP3505620B1,"2D ORGANOID FOR INFECTION AND CULTURE OF HUMAN DIARRHEA VIRUS, AND USE OF SAID 2D ORGANOID",UNIV KEIO,대학·연구기관,EP,2016-08-24,2017-08-21,2023-07-26,C12N5/071 ; C12N7/00 ; C12N15/09,기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,세포외기질 위 3차원 배양을 거친 2D 오가노이드 제조법. 매트릭스 사용이 독립항 구성요소,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20240254450A1,ALVEOLAR ORGANOID GENERATION USING ONLY DECM HYDROGELS WITH DROPPING SUSPENSION TECHNOLOGY,THE CATHOLIC UNIVERSITY OF KOREA INDUSTRY-ACADEMIC COOPERATION FOUNDATION,대학·연구기관,US,2023-01-31,2024-01-31,2024-08-01,C12N5/071 ; A61K35/42,기저막추출물·탈세포화 ECM,청구항 확인,심사중(Pending),등록 여부 미확정,매트리젤 대신 탈세포화 ECM 바이오잉크만으로 폐포 오가노이드를 제조. 국내(가톨릭대) 출원,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20240132849A1,NON-ALCOHOLIC FATTY LIVER ARTIFICIAL TISSUE MODEL,CELLARTGEN INC.,기업,US,2021-05-23,2023-11-21,2024-04-25,C12N5/071 ; C12M1/32 ; C12M3/00,기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,간 탈세포화 ECM 하이드로겔 + 간 오가노이드 + 마이크로채널 디바이스. 국내 기업(세라트젠),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20250223568A1,METHOD OF ORGANOID DERIVED PRODUCTION OF HUMAN EXTRACELLULAR MATRIX HYDROGELS,The Board of Trustees of The University of Alabama,대학·연구기관,US,2024-01-05,2025-01-06,2025-07-10,C12N5/09 ; A61K35/30,기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,오가노이드 자체를 탈세포화해 인간 유래 ECM 하이드로겔을 만드는 역발상 청구,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
EP2793912B1,ORGANOIDS COMPRISING DECELLULARIZED AND REPOPULATED PLACENTAL VASCULAR SCAFFOLD,CELULARITY INC,기업,EP,2011-12-23,2012-12-21,2020-03-18,A61K9/14 ; A61F13/00 ; A61K35/12,기저막추출물·탈세포화 ECM,청구항 확인,등록·유효(Active),예상만료 2032-12-21,태반 혈관 탈세포화 스캐폴드를 재세포화한 오가노이드,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US11648335B2,"Organ/tissue decellularization, framework maintenance and recellularization",WAKE FOREST UNIVERSITY HEALTH SCIENCES,대학·연구기관,US,2014-01-31,2015-01-30,2023-05-16,A61L27/36 ; A61L27/38 ; A61L27/54,기저막추출물·탈세포화 ECM,청구항 확인,등록·유효(Active),예상만료 2035-01-30,병변·폐기 장기의 관류 탈세포화 및 재세포화 공정,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US12201745B2,Vascular extracellular matrix hydrogel,University of Pittsburgh—Of the Commonwealth System of Higher Education,대학·연구기관,US,2016-01-13,2022-06-23,2025-01-21,A61L27/36 ; A61K35/12 ; A61L27/22,기저막추출물·탈세포화 ECM,청구항 확인,등록·유효(Active),예상만료 2037-09-07,혈관 조직 유래 ECM 하이드로겔. 혈관화 용도,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US12514957B2,Omentum based scaffold and delivery system,Ramot at Tel-Aviv University Ltd.,대학·연구기관,US,2013-06-24,2019-11-17,2026-01-06,A61L27/36 ; A61K35/34 ; A61K35/44,기저막추출물·탈세포화 ECM,청구항 확인,등록·유효(Active),예상만료 2035-05-25,대망(omentum) 탈세포화물의 효소 분해액을 3D 프린팅 잉크로 사용,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20250256009A1,DECELLULARIZED BIOMATERIAL FROM NON-MAMMALIAN TISSUE,"NEXTGEN BIOLOGICS, INC.",기업,US,2013-01-09,2025-05-01,2025-08-14,A61L27/36 ; A61K9/70 ; A61K35/12,기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,아홀로틀(비포유류) 조직 유래 탈세포화 생체재료 — 원료 동물종 회피 전략 사례,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20210108180A1,ELECTROCONDUCTIVE DECELLULARIZED EXTRACELLULAR MATRIX COMPOSITIONS FOR PREPARATION OF ENGINEERED TISSUES AND RELATED METHODS,University of Washington,대학·연구기관,US,2019-10-15,2020-09-30,2021-04-15,C12N5/071 ; C12N5/074 ; C12N5/077,기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,전도성 나노소재를 결합한 탈세포화 ECM 조성,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20210138114A1,EXTRUDABLE PHOTOCROSSLINKABLE HYDROGEL AND METHOD FOR ITS PREPARATION,UNIVERSIDAD DE LOS ANDES,대학·연구기관,US,2020-08-13,2020-08-13,2021-05-13,A61L27/36 ; A61K38/17 ; A61L27/20,기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,전도성 나노소재 포함 광가교 ECM 압출 하이드로겔,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
WO2026047653A2,UTILIZATION OF A DECELLULARIZED TESTIS SCAFFOLD AND SEMINAL EXOSOMES FOR IN VITRO SPERMATOGENESIS FROM SPERMATOGONIAL STEM CELLS,UNIV UTE,대학·연구기관,WO,2025-11-07,2025-11-07,2026-03-05,공보 서지에 국제특허분류 미수록 — Google Patents 재대조에서도 미표시(2026-09-14 확인),기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,탈세포화 고환 스캐폴드 + 정액 엑소좀 조합,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
WO2026088216A1,METHOD OF GENERATING LIVER ORGANOID MODEL AND MODEL RECAPITULATING NAFLD HALLMARKS,TRANSLATIONAL HEALTH SCIENCE AND TECH INSTITUTE,대학·연구기관,WO,2024-10-25,2025-10-24,2026-04-30,C12N5/071 ; G01N33/50,기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,NAFLD 간 오가노이드 모델 구축법,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20220154143A1,Culture Method for Head and Neck Organoids,Koninklijke Nederlandse Akademie Van Wetenschappen,대학·연구기관,US,2019-03-15,2020-03-16,2022-05-19,C12N5/071 ; C12N5/09 ; G01N33/50,기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,두경부 오가노이드 배양법 — ECM 기반 배양 전제,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20230029554A1,ORGANOID CULTURES,THE WALTER AND ELIZA HALL INSTITUTE OF MEDECAL RESEARCH,대학·연구기관,US,2019-12-12,2020-12-11,2023-02-02,C12N5/09,기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,오가노이드 배양 일반. 청구항은 보정으로 삭제 상태로 공개됨,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
WO2023121449A1,CENTRAL NERVOUS SYSTEM ORGANOIDS,KONINKLIJKE NEDERLANDSE AKADEMIE VAN WETENSCHAPPEN,대학·연구기관,WO,2021-12-21,2022-12-20,2023-06-29,C12N5/079 ; C12N5/0797,기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,중추신경계 오가노이드. 매트릭스 비의존 증식 주장,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20220145247A1,GENERATION OF HUMAN PLURIPOTENT STEM CELL DERIVED ARTIFICIAL TISSUE STRUCTURES WITHOUT THREE DIMENSIONAL MATRICES,MILTENYI BIOTEC B.V. & CO. KG,기업,US,2019-02-11,2020-02-10,2022-05-12,C12N5/079 ; C12N5/071,기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,3차원 매트릭스 없이 뇌 오가노이드를 만드는 방법 — 매트릭스 회피형 청구의 대표 사례,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20250314637A1,HYDROGEL MICROENVIRONMENT FOR GASTRIC TISSUE CULTURE MODEL,THE ROYAL INSTITUTION FOR THE ADVANCEMENT OF LEARNING/MCGILL UNIVERSITY,대학·연구기관,US,2024-04-05,2025-04-03,2025-10-09,G01N33/50 ; C12N5/071 ; C12N5/09,기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,알지네이트 0.8-1.2% + 젤라틴 1.7-2.3% + 위 조직 dECM 조합을 수치한정으로 청구,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
KR102708789B1,Liver extracellular matrix-derived scaffold for culture and transplantation of &hellip;,주식회사 세라트젠,기업,KR,2020-02-14,2024-05-27,2024-09-24,미상(검색 원자료에 분류코드 미포함),기저막추출물·탈세포화 ECM,서지정보만 확인,등록·유효(Active),예상만료 2041-02-15,간 탈세포화 ECM 스캐폴드. 국내 기업 등록특허,중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR102965763B1,Composition for culturing islet cell having pancreatic derived extracellular &hellip;,포항공과대학교 산학협력단,대학·연구기관,KR,공보 서지에 우선일 미표시 — 출원일만 공개된 건(2026-09-14 확인),2023-01-26,2026-05-14,미상(검색 원자료에 분류코드 미포함),기저막추출물·탈세포화 ECM,서지정보만 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,췌장 유래 ECM 기반 췌도세포 배양 조성물(포항공대),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR102956369B1,Composition for differentiating human neural progenitor cell and culturing &hellip;,포항공과대학교 산학협력단,대학·연구기관,KR,2022-03-03,2022-05-11,2026-04-23,미상(검색 원자료에 분류코드 미포함),기저막추출물·탈세포화 ECM,서지정보만 확인,등록·유효(Active),예상만료 2042-05-11,돼지 뇌 유래 dECM + 라미닌 조합 신경전구세포 분화 조성물,중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR102835927B1,Scaffold comprising decellularized extracellular matrix derived from cancer &hellip;,연세대학교 산학협력단,대학·연구기관,KR,2023-09-08,2024-09-06,2025-07-22,미상(검색 원자료에 분류코드 미포함),기저막추출물·탈세포화 ECM,서지정보만 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,암조직 유래 탈세포화 ECM 스캐폴드(연세대),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR20250158696A,Decellularized tissue-derived matrix functionalized with pyrogallol group,연세대학교 산학협력단,대학·연구기관,KR,2024-04-30,2025-04-30,2025-11-06,미상(검색 원자료에 분류코드 미포함),기저막추출물·탈세포화 ECM,서지정보만 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,파이로갈롤기로 기능화한 탈세포화 조직 유래 매트릭스(연세대),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR20250052329A,Pancreas extracellular matrix-derived scaffold for culture and transplantation &hellip;,주식회사 세라트젠,기업,KR,2020-11-17,2025-04-02,2025-04-18,미상(검색 원자료에 분류코드 미포함),기저막추출물·탈세포화 ECM,서지정보만 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,췌장 ECM 유래 스캐폴드(세라트젠),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
WO2025053673A1,Decellularized cancer tissue-derived extracellular matrix scaffold and use &hellip;,연세대학교 산학협력단,대학·연구기관,WO,2023-09-08,2024-09-06,2025-03-13,미상(검색 원자료에 분류코드 미포함),기저막추출물·탈세포화 ECM,서지정보만 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,탈세포화 암조직 ECM 스캐폴드 PCT 출원(연세대),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
WO2025178214A1,Hybrid bioink having decellularized extracellular matrix-based hydrogel mixed &hellip;,포항공과대학교 산학협력단,대학·연구기관,WO,2024-02-19,2024-12-10,2025-08-28,미상(검색 원자료에 분류코드 미포함),기저막추출물·탈세포화 ECM,서지정보만 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,dECM 기반 하이브리드 바이오잉크(포항공대),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR20240120675A,Alveolar organoid producing method for using dECM hydrogels with Dropping &hellip;,가톨릭대학교 산학협력단,대학·연구기관,KR,2023-01-31,2024-01-26,2024-08-07,미상(검색 원자료에 분류코드 미포함),기저막추출물·탈세포화 ECM,서지정보만 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,dECM 하이드로겔 적하현탁 폐포 오가노이드(가톨릭대) — US20240254450A1의 국내 대응,중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR101533842B1,Surface coated with extracellular matrix for cell culture,코닝 인코포레이티드,기업,KR,2006-05-16,2007-05-16,2015-07-03,미상(검색 원자료에 분류코드 미포함),기저막추출물·탈세포화 ECM,서지정보만 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,세포배양용 세포외기질 코팅 표면(코닝),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR20260065534A,Patient-derived pancreatic cancer organoid and method of preparing the same,연세대학교 산학협력단,대학·연구기관,KR,2024-10-30,2025-10-27,2026-05-08,미상(검색 원자료에 분류코드 미포함),기저막추출물·탈세포화 ECM,서지정보만 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,환자유래 췌장암 오가노이드 및 제조법(연세대),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR102947100B1,Method for producing a co-culture model of lung cancer organoids and immune &hellip;,(주)그래디언트 바이오컨버전스,기업,KR,2025-07-24,2025-07-24,2026-04-03,미상(검색 원자료에 분류코드 미포함),기저막추출물·탈세포화 ECM,서지정보만 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,폐암 오가노이드 공배양 모델 제작법(국내 기업),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
EP3418376B1,"CELL CULTURE MEDIUM, CULTURE METHOD, AND ORGANOID",UNIV KEIO,대학·연구기관,EP,2016-02-18,2017-02-17,2024-03-13,A61P1/00 ; C12N5/00 ; C12N5/071,기저막추출물·탈세포화 ECM,청구항 확인,등록·유효(Active),예상만료 2037-02-17,Wnt-아파민 복합체 함유 무혈청 배지 — 매트릭스와 짝을 이루는 배지측 권리,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
WO2026099481A1,METHOD FOR PRODUCING CELLS HAVING AN ACINAR CELL PHENOTYPE,MAX PLANCK GESELLSCHAFT,대학·연구기관,WO,2024-11-11,2025-11-10,2026-05-15,C12N5/071,기저막추출물·탈세포화 ECM,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,선방세포 표현형 유도법,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
EP3144319A1,CELL CULTURE COMPOSITION COMPRISING LAMININ-521,TRYGGVASON KARL,개인,EP,2011-09-22,2012-09-19,2017-03-22,C07K14/78 ; C07K14/705 ; C12M1/12,정제 단백질 기반,청구항 확인,"등록·유효(Active, EP3144319B1/B8 등록)",예상만료 2032-09-19,재조합 라미닌-521 코팅 조성물. 이종물질 없는 정제 단백질 기질의 대표 권리,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US11767509B2,Methods of producing RPE cells,BioLamina AB,기업,US,2012-12-03,2020-12-30,2023-09-26,C12N5/079 ; A61K9/00 ; A61K35/30,정제 단백질 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,라미닌(전장 또는 단편) 기질 위 RPE 분화. BioLamina,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20110306136A1,LAMININ-ENTACTIN COMPLEX AND CELL CULTURE ARTICLE AND METHODS THEREOF,CHANG THERESA,기업,US,2010-06-11,2011-05-19,2011-12-15,C12M3/00 ; C12N5/071,정제 단백질 기반,청구항 확인,등록 후 연차료 미납 소멸(Expired - Fee Related),US8513015B2로 등록되었으나 연차료 미납 소멸. 예상만료일이었던 2031-05-19 이전 소멸,라미닌-엔탁틴 복합체 코팅 + 오버레이. 코닝,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
WO2026085159A1,COMPOSITIONS AND METHODS FOR BIOPRINTING OF ENERGY-RESPONSIVE BIOINKS,UNIV OREGON HEALTH & SCIENCE,대학·연구기관,WO,2024-10-14,2025-10-14,2026-04-23,B33Y70/00 ; B33Y80/00 ; C12M1/04,정제 단백질 기반,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,콜라겐 캐스트겔이 인쇄 필라멘트를 감싸는 바이오프린팅 조성,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20240191199A1,Hydrogel Scaffolds And Uses Thereof,Nanyang Technological University,대학·연구기관,US,2021-04-20,2022-04-20,2024-06-13,C12N5/077,정제 단백질 기반,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,GelMA 3-10% + 알지네이트 0.5-2% + 펙틴 0.5-2% 수치한정 청구,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US11998658B2,Injectable porous hydrogels,University of New Hampshire,대학·연구기관,US,2019-02-08,2020-02-10,2024-06-04,A61L27/22 ; A61L27/36 ; A61L27/38,정제 단백질 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,젤라틴/GelMA 마이크로겔 기반 주입형 다공성 하이드로겔,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20130172985A1,CROSSLINKED HYDROGELS AND METHODS OF MAKING AND USING THEREOF,UNIVERSITY OF UTAH RESEARCH FOUNDATION,대학·연구기관,US,2010-01-15,2011-01-13,2013-07-04,A61F2/06 ; C07K14/435 ; A61N5/06,정제 단백질 기반,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,변성 젤라틴(가교성 잔기 도입) 자체를 물질로 청구,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20160178611A1,THREE-DIMENSIONAL TRANSGLUTAMINASE-CROSSLINKED HYDROGEL FOR TUMOR ENGINEERING,HAN BO,개인,US,2014-04-07,2015-04-07,2016-06-23,G01N33/50,정제 단백질 기반,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,트랜스글루타미나제로 공유가교된 젤라틴 종양 모델링 매트릭스,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20250222167A1,CROSS-LINKED PROTEIN FOAMS AND METHODS OF USING THEREOF A POLYVALENT CELLULAR SCAFFOLD,BIO-CHANGE LTD.,기업,US,2017-10-04,2025-03-27,2025-07-10,A61L27/22 ; A61L27/24 ; A61L27/26,정제 단백질 기반,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,RGD 모티프 보유 가교성 단백질 + 가교제로 만든 단백질 폼 스캐폴드,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
