patent_id,title,assignee,app_no,file_date,pub_date,ipc,claim_type,essential_elements,composition_ranges,organoid_scope,legal_status,claim_quote,confidence,confidence_reason
US4829000A,Reconstituted basement membrane complex with biological activity,The United States of America as represented by the Secretary of the,06/867027,05/27/1986,05/09/1989,A61K35/50 ; C12N5/00 ; A61K35/12 ; C12N5/02 ; C12N5/07 ; C12N5/071 ; C12Q1/02 ; C12Q1/24 ; G01N33/50,혼합(조성물항+제법한정 물건항),라미닌;4형 콜라겐;니도젠;헤파란황산 프로테오글리칸;엔탁틴;세포접종물;세포성장배지,"단백질 추출물 농도 at least 3.7 mg/ml; 중량부 laminin 60-85%, collagen IV 5-30%, nidogen 1-10%, heparan sulfate proteoglycan 1-10%, entactin 1-5%; 겔화 24-37°C, 20분 이상; 추출 버퍼 3.4M salt, 2M urea",오가노이드 한정 없음(일반 세포배양 — neurite 및 상피세포 성장·분화 촉진),"만료(Expired - Lifetime), 만료예정일 2006-05-09 (Google Patents 2026-09-14 접근)","a protein extract in a concentration of at least 3.7 mg/ml containing in parts by weight about 60-85% laminin, 5-30% collagen IV, 1-10% nidogen, 1-10% heparan sulfate proteoglycan and 1-5% entactin",상,"독립항 원문 확보, 수치범위 명문 기재, 권리상태 1차출처 확인"
EP0218065B1,Reconstituted basement membrane complex with biological activity,US HEALTH,EP19860111635,08/22/1986,08/14/1991,A61K35/50 ; C12N5/00 ; C12N5/02 ; C12N5/07 ; C12N5/071 ; A61K35/12 ; C12Q1/02 ; C12Q1/24 ; G01N33/50,혼합(조성물항+제법한정 물건항+방법항),라미닌;4형 콜라겐;니도젠;헤파란황산 프로테오글리칸;엔탁틴,"중량부 laminin 60-85%, collagen IV 5-30%, nidogen 1-10%, heparan sulfate proteoglycan 1-10%, entactin 1-5% (US4829000A와 달리 3.7 mg/ml 농도 하한은 청구항 1에 없음)",오가노이드 한정 없음(일반 세포배양),"만료(Expired - Lifetime), 만료예정일 2006-08-22 (Google Patents 2026-09-14 접근)","A cell culture composition comprising an extract containing in parts by weight about 60-85% laminin, 5-30% collagen IV, 1-10% nidogen, 1-10% heparan sulfate proteoglycan and 1-5% entactin",상,"독립항 원문 확보, 미국 대응건과 문언 차이 확인, 권리상태 1차출처 확인"
US5158874A,Determining metastic potential of tumor cells and isolating metastic tumor cells,The United States of America as represented by the Department of Health,07/291623,12/29/1988,10/27/1992,A61K35/50 ; C12N5/00 ; G01N33/50,방법항,독립항 4항 모두 방법항 — 매트릭스 조성(라미닌;4형 콜라겐;니도젠;HSPG;엔탁틴)은 방법 단계 내 재료 한정으로 기재,"중량부 laminin 60-85%, collagen IV 5-30%, nidogen 1-10%, HSPG 1-10%, entactin 1-5%; 도포량 50-100 µl(필터) / 1-2 ml(배양접시); 37°C 약 5시간·48시간",오가노이드 한정 없음(종양세포 전이능 측정),"만료(Expired - Lifetime), 만료예정일 2009-10-27 (Google Patents 2026-09-14 접근)","layering on a filter a composition comprising, in parts by weight, about 60-85% laminin, 5-30% collagen IV, 1-10% nidogen, 1-10% heparan sulfate proteoglycan and 1-5% entactin",상,"독립항 원문 확보, 권리상태 1차출처 확인. 단 방법항이므로 조성 필수성 판단 근거는 약함"
US20200239824A1,Hydrogel for stem cell and organoid culture,TheWell Bioscience,16/834302,03/30/2020,07/30/2020,C12M1/12 ; A61K9/00 ; A61K35/545 ; A61K47/36 ; A61K47/69 ; C12M3/00 ; C12N5/074,혼합(방법항 1항 + 조성물항 16항),고아실 젤란검 폴리머;저아실 젤란검 폴리머;화학수식 또는 펩타이드 수식 젤란검 폴리머,청구항에 수치 범위 기재 없음,"오가노이드 배양용 방법으로 명시(조직·세포주·이종이식 유래 세포 포함), 특정 조직 한정 없음",미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,one or more water soluble high acyl gellan gum polymers; one or more water soluble low acyl gellan gum polymers; and one or more water soluble chemically modified gellan gum polymers,상,독립항 2개 원문 확보. 조성물항에 단백질계 ECM 성분이 전혀 없음이 명확
WO2015050943A1,HYALURONIC ACID AND ALGINATE HYDROGEL COMPOSITION,UNIV CALIFORNIA,PCT/US2014/058553,10/01/2014,04/09/2015,A61F13/02,조성물항,알지네이트 폴리머;히알루론산 폴리머;공유결합된 세포지시성 펩타이드(청구항2는 광물화 폴리머 마이크로스피어 추가),alginate 0.5%-5%; hyaluronic acid 0.25%-5% (청구항 2),오가노이드 한정 없음(일반 하이드로겔 조성물),PCT 국제공개(권리 아님); 국내단계 진입·등록 여부 미확인,"A hydrogel composition comprising an alginate polymer and a hyaluronic acid polymer, wherein a cell-instructive peptide is covalently linked to at least a portion of the alginate polymer",상,독립항 1·2항 원문 확보. RGD/YIGSR/IKVAV는 종속항(9-11항)에만 등장 — 독립항 필수요소 아님
US10934529B2,Three dimensional hydrogels for culturing organoids,Ecole Polytechnique Fèdèrale de Lausanne,15/757149,09/05/2016,03/02/2021,C12N5/071 ; A61L27/38 ; A61L27/50 ; A61L27/52 ; A61L27/54 ; C12N5/00 ; G01N33/50,방법항,가교 합성 친수성 고분자;생활성 분자(라미닌-111 또는 그 기능적 단편);상피줄기세포;EGF·Noggin·R-spondin 중 선택되는 배지 성분,초기 전단탄성률(shear modulus) 0.05-1.5 kPa,상피세포 오가노이드(epithelial cell organoid)로 한정,"등록·유효(Active), 만료예정일 2036-09-05 (Google Patents 2026-09-14 접근)","the synthetic hydrogel comprises a crosslinked synthetic hydrophilic polymer and a bioactive molecule, wherein the bioactive molecule is laminin-111 or a functional fragment thereof",상,"독립항 원문 확보, 권리상태 1차출처 확인. 라미닌-111이 유일한 필수 생물학적 성분으로 한정된 점이 명확"
US12084685B2,Synthetic hydrogels for organogenesis,Massachusetts Institute of Technology,16/942580,07/29/2020,09/10/2024,C12N5/071,조성물항,분지형 합성 고분자;비닐설폰 결합으로 결합된 바인더;GFOGER 서열;추가 ECM 또는 인테그린 펩타이드 바인더,GFOGER 공칭량 between about 1.5 mM and 5 mM,오가노이드 한정 없음(organogenesis용 세포배양 매트릭스),"등록·유효(Active), 만료예정일 2042-06-11 (Google Patents 2026-09-14 접근)",the binders comprising both the amino acid sequence GFOGER (SEQ ID NO: 1) in a nominal amount of between about 1.5 mM and 5 mM of synthetic hydrogel cell culture matrix at the time of crosslinking,상,"독립항 원문 확보, 권리상태 1차출처 확인. 콜라겐 모사 펩타이드만으로 필수요소 구성"
US12584907B1,Viscoelastic hydrogel regulation of organoid patterning and vascularization,"The Florida State University Research Foundation, Inc.",19/175432,04/10/2025,03/24/2026,C12N5/077 ; C12N5/071 ; C12N5/079 ; G01N33/50,방법항,메타크릴화 히알루론산(HAMA);도파민 수식 히알루론산(HA-Cat);유도만능줄기세포,청구항에 수치 범위 기재 없음,척수 스페로이드/오가노이드로 한정,미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,the cell scaffold comprising methacrylated hyaluronic acid (HAMA) and dopamine-modified hyaluronic acid (HA-Cat),상,독립항 원문 확보. 단백질계 ECM 성분 없이 HA 유도체 2종만 필수
US20190367869A1,HYDROGELS FOR CULTIVATING PANCREATIC ORGANOIDS,Cellendes GmbH,16/426314,05/30/2019,12/05/2019,C12N5/00 ; A61K35/39 ; C12N5/071,조성물항(용도한정 조성물),하이드로겔(전단탄성률 한정);세포접착 모티프를 갖는 저분자 펩타이드;천연 ECM 단백질 부존재(negative limitation),전단탄성률 G' less than 500 Pa,췌장 오가노이드(성체 췌장조직 유래 세포)로 한정,미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,a hydrogel with a shear modulus (G) of less than 500 Pa ... the hydrogel composition is free of natural extracellular matrix (ECM) proteins derived from animal or human tissue,상,독립항 원문 확보. 천연 ECM 배제를 명문화한 소극적 한정이 핵심
WO2025085073A1,HYBRID HYDROGELS FOR CULTURING ENDOMETRIAL AND STROMAL ORGANOID CELLS,MASSACHUSETTS INST TECHNOLOGY,PCT/US2023/077081,10/17/2023,04/24/2025,C12N5/0793 ; C12M1/12 ; C12N5/071 ; C12N5/077,조성물항,분지형 poly(alkyl oxide) 고분자(8-arm 20kDa PEG-VS);티올화 ECM 고분자(히알루론산 HA-SH),"PEG 8-arm 20 kDa, 비닐설폰 치환도 < 90%; HA-SH 분자량 약 300 kDa, 치환도 약 20-30",자궁내막·기질 오가노이드 배양용으로 명시,PCT 국제공개(권리 아님); 국내단계 진입·등록 여부 미확인,"branched poly(alkyl oxide) polymers such as an 8-arm, 20kDa PEG macromers (PEG-VS) ... and thiol-functionalized extracellular matrix polymer, preferably hyaluronic acid (HA-SH)",중,독립항 원문 확보했으나 청구항 1에 'such as'·'preferably'가 다수 삽입돼 필수요소 경계가 문언상 불명확
