item_id,layer,name_ko,name_en,role_in_collagen_system,necessity,necessity_basis,evidence_type,evidence_ref,experiment_summary,quant_spec,supplier,catalog_no,grade,origin,alternatives,risk,confidence,confidence_reason
CL-L1-001,L1,"I형 콜라겐(랫 꼬리건, 텔로펩타이드 보존, 고농도)","Collagen I, rat tail, high concentration",겔의 주 골격. 산성 용액 상태로 냉장 보관하다 중화·승온으로 섬유를 자기조립시켜 3D 망을 만든다,필수,콜라겐 I/III 골격 전제에서 질량의 90% 이상을 차지하는 본체이므로 대체 불가,VENDOR;DOSE,Corning ecatalog 354249(2026-09-16 확인); PMC13492384[전문 확인],PMC13492384은 Corning 354249(약 10 mg/mL)를 희석해 2.5 및 9 mg/mL 겔을 만들고 전단 레올로지로 G'를 측정,"8~11 mg/mL, 0.02 N 아세트산, 최종 겔 2.0~9.0 mg/mL로 희석 사용",Corning Life Sciences,354249 (100 mg),"연구용(RUO), SDS-PAGE 순도 >90%, 세균·진균·마이코플라스마 음성","랫(Sprague-Dawley) 꼬리건, 0.02 N 아세트산 추출",Corning 354236(저농도); ABM RatCol 5153; Sigma C3867,랫 유래이므로 임상 이식용 부적합; 로트별 농도 편차로 CoA 확인 필수,상,"제조사 공식 카탈로그 페이지에서 농도·용매·순도·가격($205.23/100 mg)을 직접 확인, 논문에서 동일 품번 사용 확인"
CL-L1-002,L1,"I형 콜라겐(랫 꼬리건, 표준 농도)","Collagen I, rat tail",저농도(1~3 mg/mL) 겔·2D 코팅용 본체,조건부,고농도 제품으로 대체 가능하나 2~3 mg/mL 겔을 대량으로 만들 때 희석 여유가 더 크다,VENDOR;DOSE,Corning ecatalog 354236(2026-09-16 확인); PMC6470149[전문 확인]; PMC5904049[전문 확인],"PMC6470149는 354236(3.35 mg/mL)로 미세유체 3 µL 방울 겔을, PMC5904049는 Corning 356236(4.89 mg/mL)로 1 mg/mL 중화 용액 36 mL를 조제","3~4 mg/mL대, 0.02 N 아세트산; 최종 1.0~3.0 mg/mL",Corning Life Sciences,354236 (100 mg),연구용(RUO),랫 꼬리건,Corning 354249; Sigma cls354236,저농도 겔은 기계적으로 약해 장기 배양 중 수축·붕괴,상,제조사 카탈로그 확인 + 전문 2편에서 동일 품번 실사용 확인
CL-L1-003,L1,I형 콜라겐(랫 꼬리건 텔로콜라겐 + 전용 중화액),RatCol rat tail telo-collagen with neutralization solution,중화액이 동봉되어 NaOH 적정 없이 1:9 혼합만으로 중성 겔을 만든다,조건부,본체는 다른 콜라겐으로 대체 가능하지만 중화 재현성을 높이려면 유용,VENDOR,Advanced BioMatrix DFU 5153 Rev 03(2026-09-16 확인),"제조사 DFU가 중화액 1부 + 콜라겐 9부, 37 °C 1시간 겔화를 규정","약 4 mg/mL(규격 3.5~4.5), pH 3.0~3.8, 삼투압 ≤35 mOsm/kg, 겔화 tube test ≤40분",Advanced BioMatrix,5153 (100 mg + 중화액),"연구용, SDS-PAGE 순도 ≥99%, 엔도톡신 LAL ≤10.0 EU/mL","랫 꼬리건, 0.02 M 아세트산 산추출(텔로펩타이드 유지), 폐쇄 콜로니, cGMP 준용 + 프리온/바이러스 불활화 공정",Corning 354249 + 자가 중화액; ABM PureCol 5005,엔도톡신 상한이 PureCol(≤1 EU/mL)보다 10배 높음,상,제조사 DFU PDF 원문을 직접 파싱해 규격표와 절차를 확인
CL-L1-004,L1,I형 아텔로콜라겐(소 진피),PureCol bovine atelo-collagen solution,텔로펩타이드를 제거해 면역원성을 낮춘 I형 본체. 저엔도톡신·고순도가 필요한 조건에서 사용,조건부,면역원성·엔도톡신 관리에는 유리하나 오가노이드 돔의 겔 강도가 부족할 수 있어 무조건 필수는 아님,VENDOR;OMIT,Advanced BioMatrix DFU 5005 Rev 10(2026-09-16 확인); PMC10070462[전문 확인],제조사 DFU 규격표 확인. PMC10070462은 별개로 Koken 소 진피 아텔로콜라겐 겔이 오가노이드 팽창 중 돔이 붕괴해 실패했다고 보고,"규격 2.9~3.2 mg/mL, pH 1.9~2.1, 삼투압 ≤35 mOsm/kg, 섬유형성 흡광 ≥0.5, 겔화 ≤40분",Advanced BioMatrix,5005-100ML,"연구용, 은염색 순도 ≥99.9%, Coomassie α/β/γ 밴드 ≥85%, 엔도톡신 LAL ≤1.0 EU/mL, 무균(USP 변법)","소 가죽(미국 폐쇄군 단일 사육), cGMP 준용 + 프리온/바이러스 불활화 검증 단계 포함; 구성은 약 97% I형 + 잔부 III형",ABM TeloCol-3 #5026(텔로콜라겐); Koken KKN-IPC-50,"아텔로화로 겔 강도·섬유 직경 감소, 오가노이드 돔 안정성 저하 위험",상,제조사 DFU 원문에서 전 규격 확인 + 오가노이드 실패 사례를 전문에서 확인
CL-L1-005,L1,"I형 텔로콜라겐(소 진피, 고농도)",TeloCol-10 bovine telo-collagen 10 mg/ml,텔로펩타이드를 남긴 소 유래 본체. 고농도 겔·바이오잉크용,조건부,고농도(>6 mg/mL) 겔이나 3D 프린팅이 필요할 때만 요구됨,VENDOR,Advanced BioMatrix 제품 페이지 telocol10.html(2026-09-16 검색 확인),제조사 제품군 확인. 동일 계열 저농도품은 TeloCol-3 #5026(3 mg/mL),"10 mg/mL(TeloCol-10), 3 mg/mL(TeloCol-3)",Advanced BioMatrix,5226 (TeloCol-10) / 5026 (TeloCol-3),연구용,"소 가죽, 산추출 텔로콜라겐",Corning 354249; Koken KKN-IAC-50,확보 실패: 제품 페이지가 Cloudflare 차단으로 규격표(엔도톡신·순도) 원문 미확보. 검색 결과 수준의 농도·품번만 확인,중,품번·농도는 제조사 페이지 제목에서 확인했으나 규격표 원문 미확보
CL-L1-006,L1,"I형 콜라겐(돼지 건, 산가용성)","Cellmatrix Type I-A, porcine tendon collagen",장 오가노이드 3D 포매에서 Matrigel과 동등한 증식·분화를 보인 유일한 직접 비교 검증 본체,필수,상피 오가노이드 3D 포매에서 소 진피 콜라겐·아텔로콜라겐보다 우수하다는 직접 비교 근거가 있는 유일한 제품,SUBST;DOSE;VENDOR,PMC10070462[전문 확인]; PMC4164635[전문 확인]; FUJIFILM Wako 631-00651(2026-09-16 확인),"PMC10070462: 돼지 건 콜라겐 겔이 소 진피 콜라겐·아텔로콜라겐보다 hiPSO 증식이 우수했고, Matrigel과 LGR5·LYZ·MUC2·VIL1·HNF4A 발현 및 생세포수가 동등. PMC4164635: 동일 제품 3 mg/mL 겔에서 인간 소장 상피를 1개월 유지, 60일 12계대 확장","3 mg/mL, pH 3.0; 겔화 조성 콜라겐:10×배지:재구성완충액 = 8:1:1, 최종 pH 7.3~7.4",Nitta Gelatin (판매: FUJIFILM Wako / Irvine Scientific),"631-00651 (20 mL, $145) / 637-00653 (100 mL, $430)",세포배양용,"돼지 건, 산가용성(펩신 처리 이력 보고 있음)",Koken KKN-IAC-50; Corning 354236,동물 유래(돼지) — 이슬람·유대교권 임상 적용 시 종교적 제약; 로트별 겔화시간 편차,상,전문 2편의 직접 비교 실험 + 제조사 품번·가격·농도 확인
CL-L1-007,L1,"I형 아텔로콜라겐(소 진피, Koken)","AteloCell atelocollagen, bovine dermis, acidic solution",저면역원성 I형 본체. 코팅·피부 모델용,선택,오가노이드 돔 3D 배양에서 겔이 붕괴한 실패 근거가 있어 3D 골격으로는 권장하지 않음,OMIT;VENDOR,PMC10070462[전문 확인]; REPROCELL 카탈로그 KKN-IPC-50(2026-09-16 확인),PMC10070462이 Koken 아텔로콜라겐 산성액(IPC-50)을 시험했으나 오가노이드가 커지면서 돔이 무너져 오가노이드가 배지로 유실,"5 mg/mL(0.5% 멸균액), pH 3.0; 20~50 mL 포장","Koken Co., Ltd. (판매: REPROCELL / Cosmo Bio)",KKN-IPC-50 (5 mg/mL) / KKN-IPC-30 (3 mg/mL),연구용,"소 진피, 프로테아제(펩신) 처리로 텔로펩타이드 제거",Koken KKN-IAC-50(네이티브); ABM PureCol 5005,3D 돔 붕괴로 오가노이드 유실,상,"겔 붕괴는 전문에서 직접 확인, 품번·농도는 정식 판매사 카탈로그에서 확인"
CL-L1-008,L1,"I형 네이티브(텔로)콜라겐(소 진피, Koken)","AteloCell native collagen, bovine dermis, acidic solution",텔로펩타이드가 남아 섬유 간 상호작용이 강한 본체. 돔 안정성이 필요할 때,조건부,아텔로콜라겐 대비 겔 강도가 필요할 때 선택하는 대체품,VENDOR;SUBST,REPROCELL 카탈로그 KKN-IAC-50(2026-09-16 확인); PMC10070462[전문 확인],PMC10070462이 네이티브 콜라겐 산성액(IAC-50)과 아텔로콜라겐 산성액(IPC-50)을 함께 구입해 비교,"5 mg/mL(KKN-IAC-50) 또는 3 mg/mL(KKN-IAC-30), 50 mL","Koken Co., Ltd. (판매: REPROCELL / Cosmo Bio)",KKN-IAC-50 / KKN-IAC-30 (Cosmo Bio 표기 KOU-IAC-50),연구용,"소 진피, 산추출(텔로펩타이드 유지)",Nitta Cellmatrix Type I-A; ABM TeloCol-3,텔로펩타이드 잔존으로 이종 면역원성 상승 가능,상,정식 판매사 카탈로그에서 품번·농도 확인
CL-L1-009,L1,I형 콜라겐(인간 태반),"Collagen Type I, human placenta",이종 단백질 회피가 필요한 인간화 골격,조건부,이종 항원 회피에는 유리하나 가교 밀도가 높아 용해성·매트릭스 형성능이 떨어진다는 문헌 근거가 있어 1차 선택은 아님,REVIEW;VENDOR,PMC6783949[전문 확인]; Sigma-Aldrich 234149 제품 페이지(2026-09-16 검색 확인),PMC6783949: 인간 유래 콜라겐은 가교가 많아 콜라겐 질량의 최대 30%가 α/β 서브유닛 이외 분자이며 수용성이 낮고 구조적 매트릭스 형성 능력이 떨어진다,정량 근거 없음,Merck/Sigma-Aldrich (Millipore),234149,세포배양용,인간 태반,ABM VitroCol(인간 I형); CollPlant rhCollagen,"공여자 유래 감염원 위험, 공급 편차, 겔화 불량",중,문헌 근거는 전문 확인이나 제품 규격표(농도·엔도톡신) 원문은 미확보
CL-L1-010,L1,재조합 인간 I형 콜라겐(식물 발현),"rhCollagen type I, plant-derived (Collage)",동물 유래 위험(프리온·바이러스·종교적 제약)을 완전히 제거한 I형 본체,조건부,이식용·GMP 경로를 염두에 둘 때만 필요. 체외 오가노이드 배양만이면 동물 유래로 충분,VENDOR;CLAIM,CollPlant rhCollagen 제품 페이지(2026-09-16 확인); 특허 US12115276(CollPlant); US20250032668A1(CollPlant),"CollPlant는 담배에 인간 프로콜라겐 합성 5개 유전자를 도입해 전장 I형 rhCollagen을 생산. 상용품 Collage는 10 mM HCl 중 3 mg/mL. US20250032668A1 청구항은 식물 유래 rhCollagen에 경화기를 붙인 제형의 점도를 전단속도 5 1/s, 실온에서 2000 cP 이하로 한정","3 mg/mL, 10 mM HCl; 프린팅용 제형 점도 ≤2000 cP(전단속도 5 1/s, 실온)",CollPlant Ltd.,Collage (rhCollagen type I solution),의료기기 소재급(제조사 표기),"형질전환 담배(식물), 동물 유래 성분 없음",Jland Biotech rhCol III; Evonik rhCollagen,확보 실패: 공개 페이지에 엔도톡신 규격·단가 미기재. 최소 주문량·공급 리드타임 불명,중,"제품 존재·농도·용매·특허 청구항은 확인, 정량 규격은 미확보"
