supplier_id,supplier_name,country,category,product_name,catalog_no,grade,origin,spec,price,pack_size,storage,lead_time,supply_risk,source_url,verified_date,confidence,confidence_reason
F-001,Corning Incorporated,미국,완제매트릭스,"Corning Matrigel Matrix for Organoid Culture, Phenol Red-free, LDEV-free",356255,연구용(RUO),동물(마우스 EHS 육종 유래 기저막추출물),단백질농도 로트 의존(로트별 성적서 표기); 내독소 Limulus Amoebocyte Lysate(LAL)법 측정; 페놀레드 무함유; LDEV(젖산탈수소효소상승바이러스) 무함유; 로트별 탄성률 값 부여,"USD 447.60 / 10 mL (제조사 목록가, 2026-09-14 확인)",10 mL 바이알 1개,-20°C 보관; 반복 동결융해 금지,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),단일 제조사·마우스 종양 유래 단일 생산라인; 로트간 조성·탄성률 편차; 의약품제조(GMP) 등급 미제공,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Matrigel%C2%AE-Matrix/p/356255,2026-09-14,상,제조사 공식 e카탈로그 제품 페이지에서 가격·카탈로그번호·유래 직접 확인
F-002,Scientific Laboratory Supplies Ltd,영국,완제매트릭스,Corning Matrigel Matrix for Organoid Culture 10 mL (유통사 판매가),356255,연구용(RUO),동물(마우스 EHS 육종),제조사 규격과 동일; 유통사 페이지에는 규격 요약만 게재,"896.24 (사이트 통화기호 $ 표기; 영국 소재 유통사로 실제 통화 확정 실패) / 10 mL, 2026-09-14 확인",10 mL,-20°C,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),제조사 목록가 대비 약 2.0배 — 유통 단계 가산 및 통화 불확실,https://www.scientificlabs.com/en/product/cell-culture-surface-treatment-and-coatings/356255,2026-09-14,중,유통사 페이지 1차 접근 성공했으나 표시 통화 확정 불가
F-003,Corning Incorporated,미국,완제매트릭스,"Corning Matrigel hESC-Qualified Matrix, LDEV-free",354277,"연구용(RUO), 인간배아줄기세포(hESC) 적합성 시험 로트",동물(마우스 EHS 육종),hESC 배양 적합성 로트 시험 수행; LDEV 무함유; 단백질농도 페이지 미표기,"USD 263.38 / 5 mL (제조사 목록가, 2026-09-14 확인)",5 mL,-20°C,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),F-001과 동일 원료·동일 생산라인 의존,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Matrigel%C2%AE-Matrix/p/354277,2026-09-14,상,제조사 e카탈로그에서 직접 확인
F-004,Corning Incorporated,미국,완제매트릭스,"Corning Matrigel Growth Factor Reduced (GFR) Basement Membrane Matrix, LDEV-free",354230,연구용(RUO),동물(마우스 EHS 육종),성장인자 저감(GFR) 제형; LDEV 무함유; 단백질농도 페이지 미표기,"USD 364.23 / 10 mL (제조사 목록가, 2026-09-14 확인)",10 mL,-20°C; 반복 동결융해 금지,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),성장인자 저감 공정 추가로 표준품 대비 20% 고가; 동일 원료 의존,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Matrigel%C2%AE-Matrix/p/354230,2026-09-14,상,제조사 e카탈로그에서 직접 확인
F-005,Corning Incorporated,미국,완제매트릭스,"Corning Matrigel Basement Membrane Matrix, LDEV-free",354234,연구용(RUO),동물(마우스 EHS 육종),표준 제형; LDEV 무함유,"USD 302.85 / 10 mL (제조사 목록가, 2026-09-14 확인)",10 mL,-20°C; 반복 동결융해 금지,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),동일 원료 의존; 오가노이드 전용 로트 시험 미적용,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Matrigel%C2%AE-Matrix/p/354234,2026-09-14,상,제조사 e카탈로그에서 직접 확인
F-006,Corning Incorporated,미국,완제매트릭스,"Corning Matrigel Basement Membrane Matrix High Concentration (HC), LDEV-free",354248,연구용(RUO),동물(마우스 EHS 육종),고농도(HC) 제형; 단백질농도 18~22 mg/mL는 검색 스니펫 경유(1차 페이지 미도달),"USD 491.08 / 10 mL (제조사 목록가, 2026-09-14 확인)",10 mL,-20°C; 반복 동결융해 금지,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),고농도 제형은 로트 확보 난이도가 높음(제조사 로트 예약 도구 운영),https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Matrigel%C2%AE-Matrix/p/354248,2026-09-14,상,가격·카탈로그번호는 제조사 e카탈로그 직접 확인(단백질농도만 스니펫)
F-007,Scientific Laboratory Supplies Ltd,영국,완제매트릭스,"Corning Matrigel GFR Basement Membrane Matrix, High Concentration (HC), LDEV-free 10 mL",354263,연구용(RUO),동물(마우스 EHS 육종),성장인자 저감 + 고농도 복합 제형,"1,068.49 (사이트 통화기호 $ 표기; 영국 유통사로 통화 확정 실패) / 10 mL, 2026-09-14 확인",10 mL,-20°C,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),복합 제형일수록 단가 급상승 — 표준 LDEV-free 대비 3.5배,https://www.scientificlabs.com/en/product/cell-culture-surface-treatment-and-coatings/354263,2026-09-14,중,"유통사 페이지 직접 확인, 통화 표기 불확실"
F-008,Thermo Fisher Scientific Inc. (Gibco),미국,완제매트릭스,Geltrex LDEV-Free Reduced Growth Factor Basement Membrane Matrix,A1413202,연구용(RUO),동물(마우스 EHS 종양 유래),단백질농도 12~18 mg/mL; LDEV 무함유; 라미닌·IV형콜라겐·엔탁틴·헤파란황산프로테오글리칸 함유,"USD 356.00 / 5 mL (제조사 온라인 가격, 2026-09-14 확인)",5 mL,-20°C 보관; 드라이아이스 수송,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),Matrigel과 동일한 마우스 종양 유래 — 동물유래 리스크 동일; 사실상 유일한 대체 완제품,https://www.thermofisher.com/order/catalog/product/A1413202,2026-09-14,상,제조사 카탈로그 페이지에서 가격·농도·수송조건 직접 확인
F-009,Thermo Fisher Scientific Inc. (Gibco),미국,완제매트릭스,"Geltrex Reduced-Growth Factor Basement-Membrane Matrix, LDEV-free, stem-cell qualified",A1413302,연구용(RUO),동물(마우스 EHS 종양),제품 단종 — 제조사 페이지에 'has been discontinued' 표기,가격 확인 실패: 단종 처리되어 제조사 페이지에 가격 미표시(2026-09-14 확인),해당없음,해당없음,해당없음,"단종 — 줄기세포 적합성 로트 제형 공급 중단, 대체품 재검증 필요",https://www.thermofisher.com/order/catalog/product/A1413302,2026-09-14,상,제조사 페이지에서 단종 문구 직접 확인
F-010,Merck KGaA (Sigma-Aldrich),독일,완제매트릭스,ECM Gel from Engelbreth-Holm-Swarm murine sarcoma,E1270-5ML,연구용(RUO),동물(마우스 EHS 육종),단백질농도 8~12 mg/mL; 클로로포름 투석 처리,"526.17 (사이트 통화기호 $ 표기; 영국 유통사로 통화 확정 실패) / 5 mL, 2026-09-14 확인",5 mL,장기보관 -20°C; 2~8°C 최대 72시간,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),제조사(sigmaaldrich.com) 직접 접근 차단(HTTP 503) — 유통사 경유로만 가격 확인,https://www.scientificlabs.com/en/product/cell-culture-reagents-and-buffers/E1270-5ML,2026-09-14,중,유통사 1차 페이지 접근 성공; 제조사 페이지는 503으로 교차검증 실패
