param_id,param_name,material,condition,value,unit,method,effect,evidence_ref,confidence,confidence_reason
RP-001,"삼중나선 융해온도 Tm — 전장 COL3A1(무처리, P. pastoris 분비)",B,"0.1 mg/mL 수용액, 220 nm 파장에서 승온",27.5,°C,"원편광이색성(CD) 열변성곡선, MRE 220 nm",37 °C 배양에서 삼중나선 붕괴 — 단독 3D 지지체 불가,PMC13331770 [전문 확인],상,"동일 논문 내 4개 균주 동일 조건 비교, 수치 명시"
RP-002,삼중나선 융해온도 Tm — 전장 COL3A1 + 인간 P4H 공발현,B,동일 CD 조건,29.1,°C,CD 열변성곡선 220 nm,P4H 공발현만으로는 Tm이 체온에 못 미침,PMC13331770 [전문 확인],상,같은 실험 내 직접 비교값
RP-003,삼중나선 융해온도 Tm — 전장 COL3A1 + 바이러스 유래 P4H(jP4H),B,동일 CD 조건,31.0,°C,CD 열변성곡선 220 nm,여전히 37 °C 미만,PMC13331770 [전문 확인],상,같은 실험 내 직접 비교값
RP-004,삼중나선 융해온도 Tm — 전장 COL3A1 + T4-fibritin 삼량체화 도메인 융합,C,동일 CD 조건,46.6,°C,CD 열변성곡선 220 nm,37 °C에서 삼중나선 유지 — C를 쓰려면 이런 삼량체화 장치가 사실상 전제,PMC13331770 [전문 확인],상,"같은 실험 내 직접 비교값, 나노섬유 TEM으로 교차확인"
RP-005,열변성온도 Tm — 재조합 인간화 III형 콜라겐 cold gel(C3Gel),C,"승온 DSC, 수화 상태",27.25,°C,시차주사열량계(DSC) 흡열피크,저자 스스로 '37 °C에서 변성 가능'으로 판정 — 체외 배양 부적합,PMC12931284 [전문 확인],상,전문에 원문 수치·해석 모두 있음
RP-006,열전이온도 Tm — 담배(tobacco) 발현 삼중나선 rhCOL3,C,CD 220 nm 승온,39,°C,CD 열변성곡선 220 nm,37 °C 부근에서 겨우 유지 — 안전여유 2 °C,PMC12987217 [전문 확인],중,Tm은 명확하나 배양조건(장시간 37 °C) 데이터 없음
RP-007,삼중나선 붕괴 개시온도 — 담배 발현 rhCOL3,C,CD 승온,34,°C,CD 열변성곡선 220 nm,34 °C 초과에서 이미 감소 시작 — 37 °C 장기배양 위험,PMC12987217 [전문 확인],중,개시온도는 곡선 판독값
RP-008,4-하이드록시프롤린/하이드록시라이신 비 — 담배 발현 rhCOL3,C,아미노산 분석,11.3,%,아미노산 분석(천연 인간 III형 대조 15.85%),천연보다 낮은 하이드록실화 → Tm 여유 축소의 분자적 근거,PMC12987217 [전문 확인],상,대조값과 함께 제시
RP-009,하이드록시프롤린 함량 — CHO 발현 전장 인간 I형 α1 사슬,A,아미노산 분석,9.1,%,아미노산 분석,포유류 숙주는 Hyp를 실제로 넣음(수율 300 mg/L) — A의 Tm 확보 경로,PMC12938472 [전문 확인],중,리뷰가 원저를 인용한 값
RP-010,동물 단백질 전체 중 하이드록시프롤린 비율(기준값),동물유래 대조,전신 단백질 평균,약 4,%,문헌 기준값,Hyp의 대부분이 콜라겐에 있음 — Hyp 정량이 콜라겐 특이 지표,PMC6203834 [전문 확인],중,서론 기준값 인용
