item_id,layer,name_ko,name_en,role_in_rc_system,material_scope,necessity,necessity_basis,evidence_type,evidence_ref,experiment_summary,quant_spec,supplier,catalog_no,grade,origin,alternatives,risk,confidence,confidence_reason
RC-L1-001,L1,재조합 인간 I형 콜라겐 α1 사슬 — 단일사슬,"Recombinant human collagen type I alpha-1, single chain","구조 단백질 후보이나 삼중나선이 없어 인테그린 신호도 섬유형성도 스스로는 못 함. 메타크릴화 등 화학 수식을 거는 고분자 백본, 그리고 세포에 가용성 신호를 주는 성분으로 쓴다",A,필수,이 조사의 전제상 보유 재료. 단 '구조재'로서가 아니라 '수식 가능한 단백질 백본'으로 필수,SUBST;VENDOR;REVIEW,PMC13227244 [전문 확인]; PMC12852974 [전문 확인]; PMC7556543 [전문 확인],P. pastoris 발현 전장 단일사슬 I형(α1 162–1218)이 CD에서 198 nm 음성·220 nm 약한 광폭 양성 = 불규칙 코일로 확인됨. 동일 재료를 메타크릴화하면 광가교 겔이 형성됨,"연구용 제품 예: 이론분자량 27 kDa(Arg253~Ala471), 순도 >95 %(SDS-PAGE), 내독소 <1.0 EU/µg; 발효 수율은 2.6 g/L(5 L) ~ 15.3 g/L(500 L)",Biomatik,RPU51350,Research Use Only,"E. coli 발현, 동물유래 성분 없음(His-tag 부착)","Cellnest/RCPhC1(FUJIFILM, 51 kDa RGD 강화 단일사슬); Evonik VECOLLAN",삼중나선이 없어 α1β1·α2β1 신호 불가. His-tag·트레할로스·SKL 등 부형제가 겔 화학에 간섭할 수 있음,상,벤더 규격 직접 확인 + 구조 판정 전문 근거 2건
RC-L1-002,L1,재조합 인간 III형 콜라겐 — 단일사슬(단편),"Recombinant human collagen type III, single chain fragment","A와 같은 역할이되 III형 특유의 세포반응(PI3K/Akt 경로, 더 굵은 액틴 섬유)을 노린 성분. 구조재 아님",B,필수,전제상 보유 재료. Q4에서 I형과 구별되는 세포반응이 실증되어 '있어도 그만'이 아님,SUBST;DOSE;VENDOR,PMC13227244 [전문 확인]; PMC12931284 [전문 확인],"단일사슬 III형 1 mg/mL 처리 시 MSC에서 1591개 유전자 상향·1483개 하향, PI3K/Akt 활성화. 액틴 필라멘트 직경 1.31 µm(대조 0.87)","연구용 제품 예: ~10 kDa, 순도 >90 %(SDS-PAGE), 내독소 <1.0 EU/µg, 20 mM Tris-HCl/100 mM NaCl pH 8.0 용액; 세포반응 유효농도 0.25–1 mg/mL",Yeasen Biotechnology,92616ES50 (50 µg/250 µg/500 µg/1 mg),Research Use Only,"E. coli 발현, 동물유래 성분 없음(His-tag 부착)",Shanxi Jinbo 재조합 인간화 III형; Trautec 효모 발현 III형,"10 kDa급 단편은 겔 백본으로 쓰기에 사슬이 너무 짧다(25.6 kDa조차 열겔화 실패). 백본은 A, 신호는 B로 역할을 나눠야 함",상,벤더 규격 직접 확인 + 세포반응 전문 근거
RC-L1-003,L1,재조합 인간 III형 콜라겐 — 삼중나선,"Recombinant human collagen type III, triple helix",이 조합에서 유일하게 α1β1·α2β1 인테그린 신호를 낼 수 있는 성분. 구조재로도 쓰려면 Tm이 37 °C를 충분히 넘어야 함,C,필수,질문 1의 답: 인테그린 GxOGER 결합은 삼중나선 입체구조를 요구한다. C가 없으면 콜라겐 수용체 신호가 0이 된다,SUBST;OMIT;REVIEW,PMC5007264 [전문 확인]; PMC13250905 [전문 확인]; PMC7712652 [전문 확인]; 10.1074/jbc.275.1.35 [본문 미확인 — 초록 범위],"삼중나선 콜라겐→변성 젤라틴 치환 시 α2β1 세포(HT1080) 부착 37.8 %→7.1 %, α1β1 세포(Rugli) 26.2 %→5.3 %로 붕괴","Tm ≥ 41 °C(체온 +4 °C 여유) 권장. 확보 가능한 실측 예: T4-fibritin 융합 전장 COL3A1 Tm 46.6 °C, 담배발현 rhCOL3 Tm 39 °C, 인간화 III형 냉겔 Tm 27.25 °C(부적합)",Evonik Health Care,"VECOLLAN (임상시험용 등급 제공, R&D 샘플 요청 가능) / 확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공)",임상시험용 등급 및 R&D 샘플,"효모·미생물 발효, 동물·인체 유래 물질 없음",Shanxi Jinbo 인간화 III형(중국 NMPA 3등급 승인 주사제 원료); 자체 T4-fibritin 융합 발현,시판 '삼중나선' 표기 제품의 Tm 실측치가 공개되지 않는 경우가 많다. Tm 27 °C급 제품을 잘못 사면 37 °C에서 전부 풀린다,상,"기전 근거는 1차 실험, 공급은 제조사 공식 페이지 확인"
RC-L1-004,L1,삼중나선 I형 콜라겐(본 조사 제외 — 못 쓰는 대가 명시용),Triple-helical type I collagen (excluded),"고전적 주력 구조재. 중화+37 °C 승온 섬유형성, D-주기 섬유, GFOGER 2개소, 텔로펩타이드 매개 측면결합을 한꺼번에 제공한다",전 조합,선택,전제상 사용 불가. 이 행은 '무엇을 포기했는지'를 BOM에 남기기 위한 기록,REVIEW,PMC7712652 [전문 확인]; PMC2577133 [전문 확인]; 10.1074/jbc.274.51.36083 [본문 미확인 — 초록 범위],텔로펩타이드가 없으면 재조합 콜라겐은 천연과 같은 섬유 집합체를 만들지 못한다는 것이 리뷰의 명시적 결론,"포기하는 것: (1) 자발 섬유형성 (2) D-주기 섬유 표면에만 생기는 수용체 인식자리(OSCAR, GPVI) (3) 섬유 위에 GAG·성장인자를 정렬시키는 능력",해당 없음,해당 없음,해당 없음,해당 없음,대체: L6 화학가교 + L7 합성 백본으로 '구조' 기능만 인공 대체. 수용체 인식은 L5 삼중나선 펩타이드로 별도 공급,섬유 표면 특이 신호는 어떤 조합으로도 완전 복원 불가 — 이 손실은 설계상 받아들여야 함,중,리뷰 서술이 주 근거
RC-L1-005,L1,T4-fibritin C말단 삼량체화 도메인(foldon) 융합 서열,T4-fibritin C-terminal trimerization domain (foldon),단일사슬을 삼중나선으로 강제 접히게 하는 핵형성 장치. C를 자체 생산하거나 B를 C급으로 올릴 때의 핵심 부품,B;C,조건부,C를 외부 구매로 확보하면 불필요. 자체 발현하거나 Tm이 부족한 C를 보강할 때 필수로 올라감,SUBST;CLAIM,PMC13331770 [전문 확인]; PMC7712652 [전문 확인]; US20260116953A1 청구항 1–6 [CLAIM],"동일 숙주·동일 수율에서 무융합 Tm 27.5 °C, hP4H 공발현 29.1 °C, jP4H 31.0 °C인데 foldon 융합만 46.6 °C. 나노섬유도 융합주에서만 형성","Tm 27.5 °C → 46.6 °C (ΔTm +19.1 °C, CD 220 nm). 중화-응고율 11.2 %→36.9 %","해당 없음(유전자 설계 항목, 위탁발현으로 조달)",해당 없음,연구용 발현 설계,"합성 유전자, 동물유래 없음",특허 US20260116953A1의 C말단 자가조립 엘리먼트(21 aa 이상); GPP 반복 플랭킹; 세균 콜라겐 V 도메인,비인간 유래 서열이 최종 제품에 남으면 규제·면역원성 논점이 생긴다(리뷰가 명시적으로 경고),상,동일 실험 내 4군 직접 비교 + 특허 청구항
RC-L1-006,L1,프롤릴-4-하이드록실라제(P4H) α·β 서브유닛 공발현,"Prolyl 4-hydroxylase alpha/beta subunits, co-expression",프롤린을 4-하이드록시프롤린으로 바꿔 삼중나선 Tm을 올리는 효소. 발현 숙주에 함께 넣어야 하며 완제품 성분이 아니다,C,조건부,C를 외부에서 사면 불필요. 자체 생산 시에도 이것만으로는 Tm이 체온에 못 미친다는 실측이 있어 '필수'로 올리지 않음,SUBST;CLAIM,PMC13331770 [전문 확인]; PMC3151215 [전문 확인]; PMC12938472 [전문 확인]; US20070087405A1 [CLAIM]; US5593859 [CLAIM],"옥수수에서 rP4H 공발현 시 rCIα1-OH가 35–38.6 °C 가열 후에도 펩신 저항, 비공발현체는 4 °C 처리 후에도 전분해. 반면 P. pastoris 전장 COL3A1에서는 Tm이 27.5→29.1 °C로 소폭 상승에 그침",Hyp 함량 목표 ≥9 %(CHO 실측치). P4H 공발현 시 수율 손실 보고(옥수수 12→4 mg/kg),해당 없음(발현 설계 항목),해당 없음,연구용 발현 설계,"재조합 효소, 동물유래 없음",T4-fibritin foldon 융합(더 효과적); 전하잔기 함량이 높은 세균 콜라겐 유사 서열(Hyp 없이 Tm 37 °C),"숙주 부담 증가로 수율이 떨어지고, P4H 이형복합체 자체가 발현·조립이 어렵다",상,서로 다른 숙주 2건의 1차 실험 + 특허
RC-L1-007,L1,자가가교형 C말단 자가조립 엘리먼트(재조합 인간화 III형용),Self-crosslinking C-terminal self-assembly element,III형 인간화 콜라겐 C말단에 붙여 삼중나선 자가가교를 유도하는 서열. 가교제 없이 섬유망을 만들려는 접근,B;C,조건부,청구항 근거만 있고 공개된 겔 물성 실측이 없어 필수로 올릴 수 없음,CLAIM,US20260116953A1 청구항 1–7 [CLAIM],C말단 21 aa 이상 서열이 재조합 III형 인간화 콜라겐의 자가가교·삼중나선 형성을 촉진한다는 청구,정량 근거 없음,해당 없음(특허 실시 필요),해당 없음,해당 없음,합성 유전자,T4-fibritin foldon; 시스테인 말단 디설파이드 자가가교(PMC9544300),특허 실시권 필요. 자체 물성 데이터가 없어 도입 전 Tm·G′ 자체측정 필수,중,특허 청구항 단독 근거
RC-L1-008,L1,GER 반복 고밀도 단일사슬 설계(SynthCol1형),High-density GER-repeat single-chain design,단일사슬이라도 GFPGER/GMPGER 인테그린 모티프를 극단적으로 반복시켜 부착능을 만회하는 설계,A;B,조건부,"A/B의 부착능 결손을 일부 만회하는 유효한 우회로지만, 삼중나선 신호를 완전 대체한다는 근거는 없음",SUBST;VENDOR,PMC13333565 [전문 확인],인간 I형 α1 G674–A736 9-mer 반복(GER 18개) 단일사슬을 0.5 mg/mL로 코팅했을 때 NIH/3T3 부착이 소 I형 콜라겐보다 25.3 % 높음(p<0.05),"코팅 0.5 mg/mL PBS pH 7.4, 4 °C 밤새; 5 mg/mL에서 4 °C 겔·37 °C 졸(가역)","해당 없음(설계 항목, 위탁발현)",해당 없음,연구용,"P. pastoris GS115, 동물유래 없음",GFOGER 삼중나선 펩타이드 별도 접합(L5),37 °C에서 겔이 풀리므로 구조재로는 못 쓴다. 부착 향상이 삼중나선 의존 신호(FAK 하류)까지 복원하는지는 미확인,중,"단일 논문, 2D 코팅 실험"
RC-L1-009,L1,RGD 강화 재조합 콜라겐 펩타이드(RCPhC1/Cellnest),RGD-enriched recombinant collagen peptide (RCPhC1),인간 I형 콜라겐 기반 단일사슬에 RGD를 추가로 넣은 상용 재조합 펩타이드. 메타크릴·노보넨·티올 수식 실적이 가장 많은 A 계열 원료,A,선택,동일 계열 국산/타사 단일사슬로 대체 가능. 다만 광가교 물성 데이터가 가장 잘 축적된 원료,DOSE;VENDOR,PMC7556543 [전문 확인]; PMC11468640 [전문 확인]; PMC7712652 [전문 확인],RCPhC1을 메타크릴아마이드(DS 93 %)·노보넨(83 %)·티올(73 %)로 수식해 Li-TPO 2 mol% + UV-A로 겔화. 세포(ASC) 존재 하 2광자 인쇄까지 성공,"MW 51 kg/mol(MALDI-TOF). G′: MA 7.5 %=2500 Pa, 10 %=10 000 Pa; NB/SH 7.5 %=8700 Pa, 10 %=16 000 Pa",FUJIFILM Manufacturing Europe B.V. (전세계 유통은 Fujifilm Irvine Scientific 독점),Cellnest / 확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),세포배양·재생의료용,"효모 발효, 동물유래 물질 없음",Evonik VECOLLAN; Biomatik RPU51350; 자체 발현 ColDP(58 kDa),RGD는 콜라겐 특이 인테그린(α1β1/α2β1)의 리간드가 아니다 — 리뷰는 RGD 기반 재료를 '콜라겐 모사'로 분류하면 안 된다고 명시,상,제조사 공식 페이지 + 1차 물성 논문
RC-L1-010,L1,재조합 콜라겐 동결건조 원말(벌크),Lyophilized recombinant collagen bulk powder,A/B/C의 실제 수령 형태. 복원 조건(용매·pH·온도)이 이후 모든 공정을 규정한다,전 조합,필수,"고농도 전구체(7.5–10 %(w/v))가 광가교 G′을 결정한다는 농도-물성 관계가 1차 논문에 있고, 동결건조 원말이 그 농도를 만들 수 있는 유일한 공급 형태",DOSE;VENDOR;REVIEW,PMC7556543 [전문 확인]; PMC12852974 [전문 확인]; PMC10992492 [전문 확인],"10 %(w/v) RCPhC1을 0.1 M 인산완충액 pH 7.8, 40 °C에서 용해해 수식 반응에 투입. 재조합 인간유사 콜라겐은 20–25 mg/mL 고농도 용액에서 스펀지 성형","전구체 농도 7.5–10 %(w/v)(광가교용), 3–8 mg/mL(주입형 겔용), 20–25 mg/mL(스펀지 성형용)",각 L1 공급사 동일,해당 없음,연구용,동물유래 없음,4 %(w/v) 기성 용액 형태,동결건조 보호제(트레할로스 5 % 등)가 함께 들어 있어 실제 단백질 질량 보정 필요,상,복수 1차 논문의 방법부 일치
