item_id,category,name_ko,name_en,function,necessity,tissue_scope,stage,conc_typical,conc_range,form,evidence_type,evidence_ref,experiment_summary,supplier,catalog_no,grade,stock_storage,alternatives,risk,confidence,confidence_reason
MD-001,기본배지,어드밴스드 DMEM/F-12,Advanced DMEM/F-12,상피 오가노이드 확장·분화 전 단계의 표준 기본배지. 인슐린·트랜스페린·알부맥스II(지질결합 BSA)·에탄올아민·글루타치온·아스코르브산·미량원소(셀레나이트/바나듐/구리/망간)가 이미 들어 있어 혈청 없이도 상피세포가 붙고 자란다,조건부,전 조직,전 단계,"1× (단독 사용, 희석 없음)",1× 고정 — 조건배지를 최대 72% v/v까지 섞는 레시피에서는 잔여 부피만 차지,기본배지,REVIEW;SUBST;VENDOR,PMC9285512 (10.1002/cpim.106) [전문 확인]; PMC7036549 (10.1016/j.jcmgh.2019.11.008); PMC8027647 (10.1038/s41422-020-00453-x); Thermo 12634010 제품페이지 (2026-09-16 확인); PMC5627540 (10.1097/igc.0000000000001061) [전문 확인 — 일반 DMEM/F12로 자궁내막암 PDO 수립]; PMC10600233 (10.1038/s41467-023-42502-0) [일반 DMEM/F12로 마우스 장 ENR 배지 구성],Clevers 연구실 Current Protocols 표준 레시피의 AdvDMEM+++ 기반. 콜론-온-어-칩·마우스 손상재생 오가노이드 등 다수 프로토콜이 동일 기본배지 사용 SUBST 근거: 두 편이 일반 DMEM/F-12로도 오가노이드를 수립·유지했다 — '기본배지가 있어야 한다'는 필수지만 '어드밴스드 제형이어야 한다'는 필수가 아니다.,Thermo Fisher (Gibco),12634010 (500 mL) / 12634028 (10×500 mL),"세포배양용, cGMP, 페놀레드 함유","액상 완제품. 2–8 °C, 제조일로부터 12개월. 개봉 후 4 °C 1개월 이내 소진 권장(완성배지 기준). 동결 금지",DMEM/F-12 (Gibco 11320-033) — 단 인슐린·알부맥스·미량원소가 없어 B-27/N-2 의존도가 커짐,L-글루타민·HEPES 무첨가 제형이므로 반드시 별도 보충. 알부맥스II는 소 유래 — 임상용 GMP 공정에서는 차단 사유가 될 수 있음,상,SUBST 근거로 치환 가능성이 확인되어 필수→조건부로 하향. 조성·품번·가격은 제조사 공식 페이지(VENDOR)로 확인
MD-002,기본배지,DMEM/F-12 (일반),DMEM/F-12,어드밴스드 제형을 구하지 못할 때의 대체 기본배지. 인슐린·알부맥스·미량원소가 없다,선택,전 조직,전 단계,1×,1× 고정,기본배지,REVIEW;SUBST,"PMC5627540 (10.1097/igc.0000000000001061) [전문 확인, Gibco 11320-033 명기]; PMC10600233 (10.1038/s41467-023-42502-0)",자궁내막암 PDO·마우스 장 ENR 배지에서 DMEM/F12를 기본배지로 사용한 사례. B-27 2%·N-2 1%로 보충,Thermo Fisher (Gibco),11320-033,세포배양용,액상. 2–8 °C. 동결 금지,어드밴스드 DMEM/F-12(MD-001) 권장,지질·미량원소가 없어 장기 계대 시 성장 저하 가능. 어드밴스드 제형 대비 B-27 소모가 커질 수 있음,중,SUBST 근거는 있으나 어드밴스드 제형과의 정량 비교는 근거자료에 없음
MD-003,기본배지,윌리엄스 E 배지,William's E medium,간세포(hepatocyte) 분화 단계 전용 기본배지. 확장 단계의 AdDMEM/F12를 대체한다,조건부,간,분화,1×,1× 고정,기본배지,REVIEW,PMC7736890 (10.1038/s41598-020-79082-8) [전문 확인],"사람 간내·간외 담관세포 오가노이드를 AdDMEM/F12 확장배지에서 4일간 FGF10+Activin-A+RA로 전이시킨 뒤, 윌리엄스 E 기반 간세포 분화배지(니코틴아마이드 10 mM, 소듐 피루베이트 6.3 mM, 글루코스 14 mM, HEPES 20 mM, ITS+, 덱사메타손, EGF 20 ng/mL)로 교체",Thermo Fisher (Gibco),"확보 실패: 해당 논문이 공급사만 'Gibco, Life Technologies'로 기재하고 품번 미기재",세포배양용,"액상, 2–8 °C",HepatoZYME 등 간세포 전용 배지,간 분화 단계에서만 사용. 확장 단계에 쓰면 줄기세포성이 소실,중,프로토콜 기재(REVIEW)뿐 — 기본배지 교체의 효과를 검증한 비교 실험 없음. 품번 확보 실패
MD-004,기본배지,RPMI 1640,RPMI 1640,iPSC→내배엽(definitive endoderm) 유도 단계 기본배지. 폐·간·장 iPSC 유래 오가노이드의 1단계,조건부,"폐, 간, 장(iPSC 유래)",분화,1×,1× 고정,기본배지,REVIEW,PMC6748939 (10.1038/s41598-019-49696-8) [전문 확인]; PMC4519179 (10.1371/journal.pone.0133238) [전문 확인],"SFTPB 결손 iPSC 유래 폐 오가노이드: RPMI1640 + 1× B-27 + 1% HEPES + 1% GlutaMAX + Pen/Strep에 Activin A 100 ng/mL, CHIR99021 1 µM, Y-27632 10 µM 첨가하여 내배엽 유도",Thermo Fisher (Gibco),"확보 실패: 논문이 'Gibco/Life Technologies'만 기재, 품번 미기재",세포배양용,"액상, 2–8 °C",IMDM:F12 3:1 (전방전장/폐전구체 단계에 사용),성체 줄기세포(ASC) 유래 오가노이드에는 부적합,중,프로토콜 기재(REVIEW)뿐. 품번 확보 실패
MD-005,기본배지,TeSR-E6 / APEL2 (iPSC 신장 분화 기본배지),TeSR-E6 / APEL2,iPSC 유래 신장 오가노이드의 CHIR99021 중배엽 유도 단계 기본배지,조건부,신장,분화,1×,1× 고정,기본배지,REVIEW,"PMC8862535 (10.1186/s13073-022-01023-z) [전문 확인, TeSR-E6 STEMCELL 05946]; PMC10193973 (10.1073/pnas.2219699120) [전문 확인, APEL2 STEMCELL 05275]",Takasato 프로토콜 변형: iPSC를 TeSR-E6에서 4–8 µM CHIR99021로 처리해 중간중배엽 유도; APEL2 기반에서 8 µM CHIR 후 FGF9 200 ng/mL + 헤파린 1 µg/mL,STEMCELL Technologies,05946 (TeSR-E6) / 05275 (APEL2),세포배양용,액상. 제조사 지정 온도(냉장/냉동),확보 실패: 동등 대체 기본배지에 대한 비교 실험이 본 근거자료에 없음,iPSC 분화 전용. ASC 오가노이드 확장에 부적합,중,프로토콜 기재(REVIEW)뿐. 기본배지 간 비교 실험 없음
MD-006,완충·염·아미노산,HEPES,HEPES,CO2 인큐베이터 밖(후드·현미경)에서 배지 pH가 알칼리로 튀는 것을 막는 막불투과성 완충제. 계대·이미징처럼 플레이트를 오래 꺼내 두는 공정에서 필수,조건부,전 조직,전 단계,10 mM,"10–20 mM (자궁내막·전립선 15 mM, 간 분화 20 mM 사례 있음)",화학합성,REVIEW;VENDOR,"PMC9285512 (10.1002/cpim.106) [전문 확인, 10 mM]; PMC10520344 (10.1016/j.ebiom.2023.104809) [10 mM]; PMC4519179 (10.1371/journal.pone.0133238) [15 mM]; PMC7736890 (10.1038/s41598-020-79082-8) [간 분화 20 mM]; Thermo 15630080 제품페이지 (2026-09-16 확인)","Clevers AdvDMEM+++ 표준은 10 mM. 1 M 저장액 1 mL을 100 mL 배지에 넣으면 10 mM HEPES를 뺀 대조 실험은 본 근거자료에 없다 — 농도 10 mM은 프로토콜 관행(REVIEW)이며, 10/15/20 mM 차이를 비교한 DOSE 근거도 없다.",Thermo Fisher (Gibco),"15630080 (1 M, 100 mL) / 15630056 (1 M) — 15630056은 2026-09-16 기준 Thermo 사이트에서 '주문 불가' 표시","1 M 멸균여과 용액, pH 7–7.5, cGMP","1 M 액상. 2–8 °C, 제조일로부터 24개월. 동결 금지",중탄산나트륨 단독(CO2 의존) — 단 후드 작업 중 pH 변동 큼,20 mM 초과 시 일부 세포에서 독성·광독성 보고. 삼투압을 올리므로 다른 고농도 첨가물과 합산 관리 필요,중,"REVIEW;VENDOR만 존재 → 필수 판정 불가, 조건부로 하향. 품번·농도·가격은 제조사 확인"
MD-007,완충·염·아미노산,글루타맥스 (L-알라닐-L-글루타민),GlutaMAX (L-alanyl-L-glutamine),L-글루타민 대체 디펩타이드. 수용액에서 자발 분해되어 암모니아를 내지 않으므로 배지를 4 °C에 1개월 보관해도 글루타민 역가가 유지된다,조건부,전 조직,전 단계,1× (= 2 mM),1× (2 mM); 1–2 mM 사례 존재,화학합성,REVIEW;SUBST;VENDOR,"PMC9285512 (10.1002/cpim.106) [전문 확인, 1×]; PMC9047329 (10.1186/s13059-022-02673-3) [2 mM]; PMC7073464 (10.15252/embj.2019104013) [1×, Gibco 35050-038]; Thermo 35050061 제품페이지 (2026-09-16 확인)",AdvDMEM+++ 표준. 100× 저장액(200 mM)을 1:100으로 희석 SUBST 근거: PMC5311106 등은 L-글루타민 2 mM으로 동일 기능을 대체했다. 글루타민 공급 자체를 뺀 OMIT 실험은 본 근거자료에 없다.,Thermo Fisher (Gibco),35050061 (100 mL) / 35050-038 / 35050061·35050079,"100× (200 mM in 0.85% NaCl), cGMP","100× 액상. 실온 15–30 °C 보관 가능(냉장/냉동도 가능), 24개월. 동결·해동 반복 시 침전 확인",L-글루타민 2 mM (MD-008) — 단 배지 보관 중 암모니아 생성,없음(대체 시 암모니아 축적 위험),중,글루타민 공급원은 치환 가능(SUBST)하고 제거 실험(OMIT)이 없어 필수 판정 불가 → 조건부
MD-008,완충·염·아미노산,L-글루타민,L-glutamine,글루타맥스를 쓰지 않을 때의 아미노산 공급원,선택,전 조직,전 단계,2 mM,2 mM,화학합성,REVIEW;SUBST,"PMC5311106 (10.3748/wjg.v23.i6.964) [전문 확인, 2 mmol/L]; PMC4519179 (10.1371/journal.pone.0133238) [2 mM]; PMC7073464 (10.15252/embj.2019104013) [Gibco 25030-024]",마우스 소장 오가노이드 basic medium: AdDMEM/F12 + 2 mmol/L L-글루타민 + 10 mmol/L HEPES + Pen/Strep + 1 mmol/L NAC + 1% B27 + N2,Thermo Fisher (Gibco),25030-024,100× (200 mM),"100× 액상, −20 °C 보관, 해동 후 4 °C 2주. 반복 동결해동 금지",글루타맥스(MD-007) 강력 권장,4 °C 보관 중 암모니아 생성 → 배지를 미리 만들어 두는 실무와 충돌,중,SUBST 관계만 확인. 제조사 페이지 개별 대조 미실시
MD-009,완충·염·아미노산,중탄산나트륨,Sodium bicarbonate (NaHCO3),"CO2/중탄산 완충계의 축. 어드밴스드 DMEM/F-12에 3.7 g/L로 이미 포함되어 있으며, 5–10% CO2 환경을 전제로 설계됨",조건부,전 조직,전 단계,3.7 g/L (기본배지에 내장),기본배지 내장 — 별도 첨가 불필요. 1.2 g/L 제형은 5% CO2 전용,기본배지,VENDOR,Thermo 12634010 제품 FAQ/조성표 (2026-09-16 확인),별도 구매 항목이 아니라 기본배지 선택의 결과. 인큐베이터 CO2를 5%로 쓸지 10%로 쓸지에 따라 실제 pH가 달라진다 중탄산 농도를 달리한 오가노이드 비교(DOSE)는 본 근거자료에 없다.,Thermo Fisher (Gibco),12634010 (기본배지에 포함),기본배지 내장,해당 없음(기본배지에 내장),확보 실패: 중탄산 농도를 달리한 오가노이드 비교 실험이 본 근거자료에 없음,인큐베이터 CO2 설정과 배지 중탄산 농도가 어긋나면 배지 pH가 7.0 이하 또는 7.6 이상으로 벗어남,중,"VENDOR 단독 → 필수 판정 불가, 조건부로 하향"
MD-010,완충·염·아미노산,삼투압 목표 및 측정,Osmolality target,완성배지의 삼투압을 260–350 mOsm/kg 범위에 두는 것. HEPES·니코틴아마이드(10 mM)·NAC(1.25 mM)·DMSO 용매가 누적되어 삼투압을 올린다,조건부,전 조직,전 단계,260–350 mOsm/kg (포유류 세포 일반 허용 범위),확보 실패: 어드밴스드 DMEM/F-12 완제품의 실측 삼투압 값이 Thermo 제품페이지에 공개되지 않음,화학합성,VENDOR,Thermo 12634010 FAQ (2026-09-16 확인) — 'HEPES 등 첨가가 삼투압에 영향을 줄 수 있으며 대부분 포유류 세포는 260–350 mOsm/kg을 견딘다',"완성배지 조제 후 삼투압계로 1회 실측하여 로트 기록에 남기는 것을 조제 SOP에 포함시킬 것. 니코틴아마이드 10 mM + HEPES 20 mM 조합은 약 30 mOsm/kg을 추가한다(계산: 10 mM + 20 mM = 30 mmol/L ≈ 30 mOsm/kg, 비전해질 가정)",해당 없음(측정 항목),해당 없음,해당 없음,해당 없음,해당 없음,고농도 첨가물이 누적된 위 오가노이드 배지(니코틴아마이드 10 mM + HEPES 10 mM + NAC 1.25 mM)는 삼투압 상한에 접근할 수 있음,중,VENDOR 단독(Thermo FAQ의 일반 허용범위) → 필수 판정 불가. 오가노이드 배지 실측 삼투압은 확보 실패
