material_id,name_ko,name_en,synonyms,layer,function_role,ecm_counterpart,essentiality,evidence_ref,patent_ref,supplier,catalog_no,grade,origin,spec,price,alternatives,risk,confidence,confidence_reason
E-L8-001,염화나트륨,Sodium chloride,NaCl; 식염; 정제염,L8,이온강도 조절제 — 중성 pH 콜라겐 자가조립(섬유화)의 핵형성 속도·섬유 직경·최종 탁도를 결정하고 겔 등장성을 유지(체외 배양용·체내 이식용 공통),간질액 이온환경(Na+ 약 140 mM),필수,Giobbe 2019 PMID:31827102; Kim S 2022 PMID:35354790; Davison-Kotler 2019 PMID:31261996,해당없음(본 에이전트 범위 외),범용 무기·유기 시약 — 세포배양/약전 등급 복수 공급사(개별사 카탈로그 미검증),1차 출처 미확인(카탈로그번호 추측 금지),USP-NF/Ph.Eur./KP 등급 또는 세포배양 등급; GMP 등급 조달 가능,합성·광물 유래(동물유래 성분 없음),겔화 완충액 최종 Na+ 140–160 mM; 삼투압 285 ± 15 mOsm/kg(빙점강하 삼투압측정법); 내독소 ≤ 0.5 EU/mL(USP <85> LAL 겔화법 또는 USP <86> 재조합 C인자(rFC)법),1차 출처 미확인(가격 조회는 본 에이전트 범위 외),HBSS·EBSS 등 평형염류액 프리믹스; 만니톨 등 비이온성 삼투질(이온강도 효과는 대체 불가),이온강도 과다 시 콜라겐 섬유가 굵어져 저장탄성률 G′ 재현성 저하; 과소 시 겔화 지연·불완전 겔화,상,매트릭스 제조 공정상 불가결하다. 이온강도가 콜라겐 섬유화의 굵기와 최종 강성을 좌우하므로 '넣지 않는' 선택지가 존재하지 않는다. M3 등급이 부여되지 않은 것은 제거 실험의 대상이 될 수 없는 공정 변수이기 때문이지 불필요해서가 아니다 / 무기염 자체는 특성 규명이 완결된 저위험 원자재이고 ICH·약전 시험법이 확립되어 있으나 겔 물성에 대한 정량 수치는 제형별로 달라 공정 목표값으로 기재
E-L8-002,인산완충식염수,Phosphate-buffered saline,PBS; DPBS; D-PBS(Ca2+/Mg2+ free),L8,"완충·세척·희석 매질 — 오가노이드 회수, 지지체 전구용액 희석, 겔 평형화에 사용(체외 배양용 주용도)",간질액 이온·pH 환경,필수,Capeling 2019 PMID:30612954; Kozlowski 2021 PMID:34893703; Ong 2026 PMID:42089082,해당없음(본 에이전트 범위 외),범용 무기·유기 시약 — 세포배양/약전 등급 복수 공급사(개별사 카탈로그 미검증),1차 출처 미확인(카탈로그번호 추측 금지),세포배양 등급(0.2 µm 여과멸균) 또는 GMP 등급,합성(동물유래 성분 없음),"pH 7.2 ± 0.2(전위차 pH측정법, 25 °C); 삼투압 270–300 mOsm/kg(빙점강하법); 무균(USP <71> 무균시험법); 내독소 ≤ 0.5 EU/mL(USP <85>/<86>)",1차 출처 미확인(가격 조회는 본 에이전트 범위 외),HEPES 완충 식염수; Tris 완충액(단 알지네이트 Ca2+ 가교계에서는 인산이온이 Ca2+를 침전시키므로 PBS 부적합),인산이온이 Ca2+와 불용성 인산칼슘을 형성 — 알지네이트 이온가교 공정에서 PBS 사용 시 가교 실패·겔 불균일,상,위와 동일한 공정 불가결 항목. 등장성·pH를 유지하지 않으면 세포가 겔화 과정에서 생존하지 못한다 / 완충액 물성 규격이 약전 일반시험법으로 직접 검증 가능하고 Ca2+-인산 상호작용은 무기화학적으로 확정적
E-L8-003,HEPES 완충제,HEPES,4-(2-hydroxyethyl)-1-piperazineethanesulfonic acid; 헤페스,L8,"CO2 비의존 pH 완충 — 인큐베이터 밖 조작(겔 캐스팅, 이미징, 수송) 중 pH 7.2–7.6 유지(체외 배양용 전용)","해당없음(합성 완충제, 생체 내 대응물 없음)",조건부,Broguiere 2018 PMID:30203567; Ye S 2020 PMID:34658689; Turco 2017 PMID:28394884,해당없음(본 에이전트 범위 외),범용 무기·유기 시약 — 세포배양/약전 등급 복수 공급사(개별사 카탈로그 미검증),1차 출처 미확인(카탈로그번호 추측 금지),세포배양 등급 이상; 광분해 산물 저감을 위한 저광조사 보관,합성(동물유래 성분 없음),사용농도 10–25 mM(25 mM 초과 시 세포독성 보고 영역); pKa 7.48(25 °C) 기준 pH 7.2–7.6 유지; 내독소 ≤ 0.5 EU/mL(USP <85>/<86>); ISO 10993-5 추출물 세포독성 생존율 ≥ 70%,1차 출처 미확인(가격 조회는 본 에이전트 범위 외),중탄산나트륨/5% CO2 완충계; MOPS·Tris 완충계,광조사 시 과산화수소 생성으로 세포 산화스트레스 유발; 고농도에서 미토콘드리아 독성,중,완충 화학과 사용농도 범위는 확립되어 있으나 오가노이드 특이적 무독성 상한을 직접 제시한 1차 논문을 문헌 풀에서 확보하지 못함
E-L8-004,중탄산나트륨,Sodium bicarbonate,NaHCO3; 탄산수소나트륨; 중조,L8,CO2/중탄산 완충계 구성 — 5% CO2 인큐베이터 내 배지 pH 7.2–7.4 유지. 배지 성분이며 매트릭스 성분이 아님(R-10 구분),혈장 중탄산 완충계(HCO3- 약 24 mM),선택,Sato 2009 PMID:19329995; Turco 2017 PMID:28394884; Karnieli 2017 PMID:28017599,해당없음(본 에이전트 범위 외),범용 무기·유기 시약 — 세포배양/약전 등급 복수 공급사(개별사 카탈로그 미검증),1차 출처 미확인(카탈로그번호 추측 금지),USP-NF/Ph.Eur./KP 등급 또는 세포배양 등급,합성(동물유래 성분 없음),"배지 중 14–44 mM(DMEM 계열 44 mM, 5% CO2 평형 기준); 평형 후 pH 7.2–7.4(전위차 pH측정법); 내독소 ≤ 0.5 EU/mL(USP <85>/<86>)",1차 출처 미확인(가격 조회는 본 에이전트 범위 외),HEPES 완충계(CO2 비의존 조작 구간에 한함),CO2 분압 이탈 시 배지 알칼리화(pH > 7.8)로 오가노이드 생존율 급락; 매트릭스 성분으로 오인 시 지지체 규격서 오작성,상,배지 조성 수치는 표준 배지 처방으로 확립되어 있고 배지/매트릭스 구분이 규제상 중요해 명시 / 배지 완충 성분이므로 매트릭스 소재 기준 필수도는 '선택'(V 감사 반려-001 반영)
E-L8-006,황산칼슘,Calcium sulfate,CaSO4; CaSO4·2H2O; 석고,L8,알지네이트 내부(균일) 가교제 — 저용해도로 Ca2+를 서방 공급해 겔 전체에 균일한 가교밀도를 형성,해당없음(공정용 이온 공급원),조건부,Capeling 2019 PMID:30612954; Chooi 2023 PMID:36502337,해당없음(본 에이전트 범위 외),범용 무기·유기 시약 — 세포배양/약전 등급 복수 공급사(개별사 카탈로그 미검증),1차 출처 미확인(카탈로그번호 추측 금지),세포배양 등급 이상; 무균 현탁액으로 조제,합성·광물 유래(동물유래 성분 없음),"슬러리 현탁 후 최종 5–20 mM Ca2+ 상당 투입, 실온 30–60분 겔화; 겔화 완료 판정은 진동레오미터 시간掃引(1 Hz, 1% 변형)에서 G′ > G″ 교차점 확인",1차 출처 미확인(가격 조회는 본 에이전트 범위 외),CaCO3+글루코노델타락톤(GDL) 내부 가교; CaCl2 외부 가교,슬러리 분산 불균일 시 국소 가교 편차; 잔류 황산이온의 배지 이온조성 교란,중,내부 가교 원리는 확립되어 있으나 오가노이드용 최적 농도를 단일 수치로 규정한 1차 논문을 확보하지 못해 범위로 기재
E-L8-009,수산화나트륨,Sodium hydroxide,NaOH; 가성소다,L8,"콜라겐 중화제 — 산성(약 pH 2–4, 아세트산/HCl) 콜라겐 원액을 pH 7.0–7.4로 중화해 중성 자가조립 섬유화를 개시시킴",해당없음(공정 보조제),필수,Giobbe 2019 PMID:31827102; Kim S 2022 PMID:35354790; Davison-Kotler 2019 PMID:31261996,해당없음(본 에이전트 범위 외),범용 무기·유기 시약 — 세포배양/약전 등급 복수 공급사(개별사 카탈로그 미검증),1차 출처 미확인(카탈로그번호 추측 금지),USP-NF/Ph.Eur./KP 등급 표준액(0.1 M / 1 M),합성(동물유래 성분 없음),"중화 종말점 pH 7.2 ± 0.2(전위차 pH측정법, 4 °C 조작); 중화 후 겔화 온도 37 °C에서 겔화시간 20–40분(레오미터 시간掃引 G′–G″ 교차점); 중화 직후 침전·응집 육안 무 확인",1차 출처 미확인(가격 조회는 본 에이전트 범위 외),NaHCO3 중화; 10× PBS/10× DMEM 동시 희석 중화; Tris 염기,국소 과알칼리(pH > 8) 발생 시 콜라겐 변성·불규칙 응집으로 G′ 재현성 붕괴; 조작 온도가 4 °C를 벗어나면 조기 겔화,상,콜라겐·dECM 겔은 산성 용액 상태로 공급되며 중화 없이는 섬유화가 일어나지 않는다. 공정상 대체 불가한 단계이므로 필수로 둔다 / 콜라겐 중성 섬유화 공정은 dECM·콜라겐 겔 문헌에서 표준화된 절차이며 종말점 pH는 명확
E-L8-010,수크로스,Sucrose,설탕; 자당; saccharose,L8,동결건조 보호제·부피형성제(lyoprotectant/bulking agent) — 동결건조 지지체 전구체의 단백질 구조 보호 및 케이크 형성(체외·체내 공통),해당없음(제제 부형제),조건부,Karnieli 2017 PMID:28017599; Scott 2020 PMID:32713719; Atouf 2016 PMID:27233803,해당없음(본 에이전트 범위 외),범용 무기·유기 시약 — 세포배양/약전 등급 복수 공급사(개별사 카탈로그 미검증),1차 출처 미확인(카탈로그번호 추측 금지),USP-NF/Ph.Eur./KP 등급; 저내독소(low-endotoxin) 등급 권장,"사탕수수·사탕무 유래(식물, 동물유래 성분 없음)",제제 중 2–10%(w/v); 잔류수분 ≤ 3%(칼피셔 수분측정법); 내독소 ≤ 0.5 EU/mL(USP <85>/<86>); 유리전이온도(Tg′) 기준 동결건조 1차 건조 온도 설정,1차 출처 미확인(가격 조회는 본 에이전트 범위 외),"트레할로스(가수분해 저항성 우수), 만니톨(결정성 부피형성제)",산성 조건·고온에서 가수분해되어 환원당(글루코스·프룩토스) 생성 → 단백질 마이야르 반응으로 순도 저하,중,동결건조 부형제 역할은 확립되어 있으나 오가노이드 지지체 특이 처방 수치를 1차 논문으로 확인하지 못해 일반 제제 범위로 기재
E-L8-011,트레할로스,Trehalose,"α,α-트레할로스; trehalose dihydrate",L8,동결·건조 보호제 — 비환원 이당류로 수소결합 치환을 통해 콜라겐·라미닌 등 매트릭스 단백질의 동결/건조 변성을 억제,해당없음(제제 부형제),조건부,Karnieli 2017 PMID:28017599; Atouf 2016 PMID:27233803; Solomon 2025 PMID:41136834,해당없음(본 에이전트 범위 외),범용 무기·유기 시약 — 세포배양/약전 등급 복수 공급사(개별사 카탈로그 미검증),1차 출처 미확인(카탈로그번호 추측 금지),Ph.Eur./USP-NF 등급; 저내독소 등급 권장,"전분 효소전환 유래(식물·미생물, 동물유래 성분 없음)",제제 중 5–10%(w/v); 비환원당이므로 마이야르 반응 무; 잔류수분 ≤ 3%(칼피셔법); 내독소 ≤ 0.5 EU/mL(USP <85>/<86>),1차 출처 미확인(가격 조회는 본 에이전트 범위 외),"수크로스, 글리세롤(액상 보관), 만니톨",수크로스 대비 고가; 이수화물/무수물 결정형 차이에 따른 칭량 오차,중,비환원당의 단백질 보호 기전은 확정적이나 본 과제 문헌 풀에 트레할로스 직접 정량 논문이 없어 제제학적 일반 범위로 기재
E-L8-012,디메틸설폭사이드,Dimethyl sulfoxide,DMSO; 메틸설피닐메탄,L8,"세포내 동결보호제 — 오가노이드 및 지지체-세포 복합체 동결보존 시 얼음 결정 형성을 억제(배지·동결보존액 성분이며 매트릭스 성분 아님, R-10 구분)",해당없음(공정용 동결보호제),조건부,Karnieli 2017 PMID:28017599; Dossena 2020 PMID:32127043; Shaikh 2026 PMID:42526442,해당없음(본 에이전트 범위 외),범용 무기·유기 시약 — 세포배양/약전 등급 복수 공급사(개별사 카탈로그 미검증),1차 출처 미확인(카탈로그번호 추측 금지),USP-NF/Ph.Eur. 등급 또는 세포배양 등급; 임상용은 GMP 등급,합성(동물유래 성분 없음),"동결보존액 중 5–10%(v/v); ICH Q3C(R9) 3급(Class 3) 용매로 잔류 허용치 PDE ≥ 50 mg/일, 옵션1 기준 5000 ppm(0.5%) — 정량은 헤드스페이스 기체크로마토그래피(HS-GC); 해동 후 세척으로 최종 제품 중 농도 최소화",1차 출처 미확인(가격 조회는 본 에이전트 범위 외),"글리세롤, 에틸렌글리콜, DMSO-free 동결보존액(다당·단백질 기반)",잔류 DMSO는 세포 분화 교란 및 임상 투여 시 오심·혈관통 유발; 해동 후 세척 공정 필요,상,ICH Q3C(R9) 원문(2026-09-14 열람)에서 DMSO가 3급 용매 표(TABLE 3)에 등재되고 3급 한도 5000 ppm/0.5%가 명시됨을 직접 확인
E-L8-013,글리세롤,Glycerol,"Glycerin; 글리세린; 1,2,3-프로판트리올",L8,동결보호제·가소제 — DMSO 대체 동결보호제 및 건조 매트릭스의 유연성 유지,해당없음(공정용 동결보호제·가소제),선택,Karnieli 2017 PMID:28017599; Viau 2017 PMID:28763452,해당없음(본 에이전트 범위 외),범용 무기·유기 시약 — 세포배양/약전 등급 복수 공급사(개별사 카탈로그 미검증),1차 출처 미확인(카탈로그번호 추측 금지),USP-NF/Ph.Eur./KP 등급,식물유(팜·대두) 또는 합성 유래가 일반적 — 우지(tallow) 유래 회피 및 원료 출처 증명서 필수,동결보존액 중 10%(v/v); ICH Q3C(R9) 1~3급 용매 표에 글리세롤은 등재되어 있지 않음(2026-09-14 원문 확인) → 약전 순도 규격 및 ISO 10993-17:2023 독성학적 위해평가로 관리; 내독소 ≤ 0.5 EU/mL(USP <85>/<86>),1차 출처 미확인(가격 조회는 본 에이전트 범위 외),"DMSO, 에틸렌글리콜, 프로필렌글리콜",우지 유래 글리세롤 사용 시 TSE/BSE 위험 — EMA/410/01 rev.3 및 生物由来原料基準 반추동물 조항 적용 대상; 디에틸렌글리콜 오염 이력(약전 확인시험 필수),상,"ICH Q3C(R9) 원문 표 1~3에 글리세롤 미등재를 직접 확인했고, 반추동물 유래 원료 규제는 EMA·일본 고시 원문으로 검증"
