material_id,name_ko,name_en,synonyms,layer,function_role,ecm_counterpart,essentiality,evidence_ref,patent_ref,supplier,catalog_no,grade,origin,spec,price,alternatives,risk,confidence,confidence_reason
C-L1-001,"콜라겐 I형(랫 꼬리 건, 텔로펩타이드 보존)","Collagen type I, rat tail tendon",rat tail collagen I; 텔로콜라겐; native collagen I,L1,자가조립 섬유 형성 및 인테그린 α1β1/α2β1 결합을 통한 부착·견인력 전달,간질(interstitial) ECM의 섬유성 콜라겐 I,조건부,DOI:10.1155/2019/8472712,없음(특허 조사는 본 산출물 범위 외),Corning Life Sciences,354236,연구용,동물,"3~4 mg/mL 산성 용액(0.02 N 아세트산), 100 mg/병, 랫 꼬리 건 유래",USD 181.78 / 100 mg (2026-09-14 확인),Advanced BioMatrix PureCol #5005; Koken AteloCell KKN-IAC-50,로트 간 겔화 속도·강성 편차가 크고 텔로펩타이드 잔존으로 이종 면역원성 존재; 랫 조직 유래로 완전 정의 배양에 부적합,상,"Corning 공식 eCatalog에서 카탈로그번호·농도·가격을 직접 확인했고, 소화관 오가노이드용 콜라겐 3D 매트릭스 논문으로 용도 근거 확보"
C-L1-002,"아텔로콜라겐 I형(소 진피, 3 mg/mL)","Atelocollagen type I, bovine dermis",PureCol; telopeptide-free collagen I; 아텔로콜라겐,L1,면역원성 텔로펩타이드를 효소로 제거한 저면역원성 섬유 골격 제공,진피·간질 콜라겐 I,조건부,DOI:10.1021/acsbiomaterials.1c00129,없음(특허 조사는 본 산출물 범위 외),Advanced BioMatrix,5005,연구용;의료기기,동물,"3 mg/mL 산성 용액, 콜라겐 함량 ≥99.9%, 소 진피 유래 I형 아텔로콜라겐",공개 카탈로그 가격 미표시(확인일 2026-09-14),Nutragen #5010(6 mg/mL); Koken KKN-IPC-50,"소 유래 원료로 TSE/BSE 관리 문서가 필요하고, 저농도 탓에 단독 겔 강성이 100 Pa 수준으로 낮음",상,제조사 제품 페이지에서 카탈로그번호·농도·순도를 확인했으며 콜라겐-알지네이트 마이크로젤 논문으로 3D 배양 용도 근거 확보
C-L1-003,고농도 아텔로콜라겐 I형(6 mg/mL),"Atelocollagen type I, high concentration",Nutragen; 고농도 아텔로콜라겐,L1,고농도 섬유 네트워크로 강성 상향 조절,간질 콜라겐 I 고밀도 영역,선택,DOI:10.3390/bioengineering6030056,없음(특허 조사는 본 산출물 범위 외),Advanced BioMatrix,5010,연구용,동물,"6 mg/mL 산성 용액, 소 진피 유래 I형 아텔로콜라겐",공개 카탈로그 가격 미표시(확인일 2026-09-14),PureCol #5005 농축; Koken KKN-IPC-50,고농도에서 점도가 높아 세포 혼합 시 전단 손상 위험; 소 유래 원료 규제 문서 필요,중,"제조사 제품 페이지에서 농도·카탈로그번호 확인, 근거 문헌은 콜라겐 원료 공급원 비교 리뷰로 물질 특성은 뒷받침되나 오가노이드 직접 적용 논문은 아님"
C-L1-004,"아텔로콜라겐(소 진피, AteloCell 5 mg/mL)","Atelocollagen, bovine dermis (AteloCell)",KOKEN AteloCell; IPC-50,L1,pH 중화 시 온도 의존적 섬유 겔화로 3D 배양 골격 형성,진피 콜라겐 I,선택,DOI:10.3727/000000004783983882,없음(특허 조사는 본 산출물 범위 외),"Koken Co., Ltd.(글로벌 유통 REPROCELL)",KKN-IPC-50,연구용,동물,"5 mg/mL 멸균 산성 용액(pH 3), 50 mL, 소 진피 유래",공개 카탈로그 가격 미표시(확인일 2026-09-14),Advanced BioMatrix PureCol #5005; Corning 354236,일본 제조·해외 유통 경로가 길어 리드타임 변동; 산성 보관으로 중화 조작 필요,중,"REPROCELL 및 제조사 카탈로그에서 품번·농도·pH 확인, 콜라겐 비트리젤 오가노이드 논문으로 용도 근거 확보"
C-L1-005,인간 유래 콜라겐 I형 용액,Human collagen type I solution,VitroCol; human collagen I,L1,이종 단백질 회피가 필요한 인간 세포 배양의 부착 기질,인간 간질 콜라겐 I,선택,DOI:10.1089/scd.2006.0100,없음(특허 조사는 본 산출물 범위 외),Advanced BioMatrix,5007,연구용,동물,"3 mg/mL 산성 용액, 인간 조직 유래 I형 콜라겐",공개 카탈로그 가격 미표시(확인일 2026-09-14),Sigma C5483(인간 산가용성 콜라겐 I); CollPlant rhCollagen,인체 조직 유래로 공여자 변동성·바이러스 스크리닝 부담; 단가 높음,중,"제조사 제품 페이지에서 품번·농도 확인, 근거 문헌은 콜라겐 I의 중간엽줄기세포 주화성 유도 논문으로 기능은 뒷받침되나 오가노이드 특이 논문은 아님"
C-L1-006,콜라겐 III형(인간 태반 유래),"Collagen type III, human placenta",Bornstein and Traub Type III; Sigma Type X,L1,콜라겐 I과 공중합해 가는 세섬유를 형성하고 초기 창상·혈관 기질의 유연성 부여,혈관·피부 간질의 III형 세섬유,선택,DOI:10.1167/iovs.07-1348,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),C4407,연구용,동물,"동결건조 분말, ≥90%(GE), 인간 태반 펩신 추출물, 0.5 M 아세트산에 1 mg/mL 재용해",공개 카탈로그 가격 미표시(확인일 2026-09-14),Sigma CC054(Millipore human collagen III); 재조합 인간 콜라겐 III형,인체 태반 유래로 로트 편차·감염성 인자 스크리닝 필요; 펩신 처리로 텔로펩타이드 제거됨,중,"Sigma 제품 페이지에서 품번·순도·재용해 조건 확인, 근거 문헌은 재조합 I형 대 III형 콜라겐 각막 대체재 비교 논문으로 III형 기능 근거 제공"
C-L1-007,콜라겐 IV형(마우스 EHS 종양 유래),"Collagen type IV, mouse EHS tumor",basement membrane collagen; type IV collagen network,L1,기저막의 그물형(network-forming) 골격을 형성하고 상피 극성 확립의 물리적 토대 제공,기저막 IV형 콜라겐 네트워크,조건부,DOI:10.7554/elife.73486,없음(특허 조사는 본 산출물 범위 외),Corning Life Sciences,354233,연구용,동물,"1 mg/병, EHS lathyritic 마우스 종양 유래, SDS-PAGE 순도 >90%",공개 카탈로그 가격 미표시(확인일 2026-09-14),Sigma C5533(인간 태반 IV형); Sigma H4417(인간 IV형),마우스 종양 유래로 이종 단백질·성장인자 잔존 가능성; 로트 편차,상,"Corning eCatalog에서 품번·규격·순도 확인, 신장 오가노이드가 기저막 조립을 재현한다는 eLife 논문으로 IV형 콜라겐의 필수성 근거 확보 / 동일 물질의 제품 간 등급 역전을 해소(물질 단위 부여, 반려-005 반영)"
C-L1-008,콜라겐 IV형(인간 태반 유래),"Collagen type IV, human placenta",Bornstein and Traub Type IV; human placental collagen IV,L1,인간 기저막 그물 구조 재현용 코팅 기질,기저막 IV형 콜라겐,조건부,DOI:10.1016/j.jbc.2025.110384,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),C5533,연구용,동물,"BioReagent 등급 분말, 세포배양용, CAS 9007-34-5, 인간 태반 유래",공개 카탈로그 가격 미표시(확인일 2026-09-14),Corning 354233(마우스 EHS); Sigma H4417,인체 태반 유래 변동성; 분말 재용해 시 응집 경향,중,"Sigma 제품 페이지에서 품번·등급·유래 확인, 기저막에 콜라겐 IV를 표적 삽입하는 최신 논문으로 기능 근거 확보"
C-L1-009,"재조합 인간 콜라겐 I형(식물 발현, 삼중나선)","Recombinant human collagen type I, plant-expressed",rhCollagen; 담배 형질전환 유래 인간 콜라겐 I,L1,동물 유래 원료 없이 인간 콜라겐 I의 삼중나선 구조를 제공하는 이종물질 배제(xeno-free) 기질,간질 콜라겐 I,선택,DOI:10.2165/00063030-200418020-00004,없음(특허 조사는 본 산출물 범위 외),CollPlant Ltd.,공개 제품 페이지에 연구용 카탈로그번호 미표시(확인일 2026-09-14),의약품제조;의료기기,식물,"형질전환 담배에서 생산한 heterotrimeric 인간 I형 프로콜라겐 유래 정제 콜라겐, Collink.3D 바이오잉크 형태로 공급",공개 카탈로그 가격 미표시(확인일 2026-09-14),FUJIFILM Cellnest RCP(단종); 효모 발현 재조합 인간 콜라겐 I,연구용 소량 카탈로그 판매가 확인되지 않아 조달 경로가 사업 협의에 의존; 단가 정보 비공개,중,"CollPlant 공식 제품 페이지에서 식물 발현 플랫폼과 제품군은 확인했으나 연구용 품번·가격은 비공개였고, 근거 문헌은 재조합 인간 콜라겐의 조직공학 응용 리뷰"
C-L1-010,재조합 인간 콜라겐 III형(CHO/효모 발현),Recombinant human collagen type III,rhCol III; recombinant COL3A1,L1,동물 유래 없는 III형 콜라겐 공급으로 창상·혈관 기질 모사,혈관·피부 III형 콜라겐,선택,DOI:10.1016/j.jbiotec.2026.02.015,없음(특허 조사는 본 산출물 범위 외),"미확인(연구용 카탈로그 판매 제조사 공식 페이지 확인 실패, 2026-09-14)",미확인(제조사 제품 페이지 접근 실패),연구용,인간 재조합,"CHO 세포 발현 전장 인간 III형 콜라겐, 논문 기준 정제 순도 90% 이상",공개 카탈로그 가격 미표시(확인일 2026-09-14),Sigma C4407(인간 태반 III형); 누에 생산 재조합 인간 III형 프로콜라겐,연구용 카탈로그 제품의 상용 공급 경로가 확인되지 않아 조달 리스크 높음,하,생산 논문으로 물질 실재성은 확인했으나 제조사 공식 제품 페이지·품번·가격을 모두 확인하지 못함
C-L1-011,"젤라틴(돼지 피부, Type A, 300 Bloom)","Gelatin, porcine skin, Type A",변성 콜라겐; gelatine; 300 g Bloom,L1,콜라겐을 열변성시켜 얻은 수용성 폴리펩타이드로 RGD 모티프를 유지한 저가 부착 코팅·겔 기재,변성 콜라겐 I,조건부,DOI:10.1038/s41598-019-42186-x,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),G1890,식품;연구용,동물,"분말, 겔 강도 약 300 g Bloom, Type A(산처리), 전기영동·세포배양용, CAS 9000-70-8",공개 카탈로그 가격 미표시(확인일 2026-09-14),Advanced BioMatrix PhotoGel #5208(GelMA); 어류 젤라틴,37 ℃에서 녹아 3D 겔을 유지하지 못하므로 가교 없이는 단독 매트릭스 불가; 돼지 유래,상,"Sigma 제품 페이지에서 품번·Bloom·등급 확인, GelMA 배치 일관성 논문으로 젤라틴 원료 특성 근거 확보"
C-L1-012,"메타크릴로일 젤라틴(GelMA, 치환도 약 95%)","Gelatin methacryloyl (GelMA), ~95% DS",PhotoGel; methacrylated gelatin; GelMA; 통합: 메타크릴화 젤라틴 전구체 (GelMA),L1,"젤라틴 라이신 아민에 메타크릴로일기를 도입해 광가교로 강성·분해성을 독립 제어하는 세포 접착성 하이드로젤 [L6 광중합 전구체로도 분류 가능(중복 등재 통합, 구 ID D-L6-019)]",변성 콜라겐 기반 인공 간질 기질,조건부,DOI:10.1016/j.biomaterials.2015.08.045,없음(특허 조사는 본 산출물 범위 외),Advanced BioMatrix / Merck(Sigma-Aldrich) / Advanced BioMatrix,"5208 / 900622 (bloom 300, 치환도 60%) / 900629 (치환도 40%) / 5208 (ABM PhotoGel, 약 95% 치환)",연구용,동물,"동결건조 멸균 분말 1 g, 돼지 Type A 300 Bloom 젤라틴 기반, 메타크릴화도 약 95%(라이신 잔기 >75% 치환)",공개 카탈로그 가격 미표시(확인일 2026-09-14),Sigma-Aldrich GelMA 제품군; 자체 합성 GelMA,광개시제·자외선 노출에 따른 세포 손상 가능; 치환도에 따라 강성이 크게 변해 로트 검증 필요,상,"제조사 제품 페이지에서 품번·치환도·포장단위 확인, GelMA 특성 리뷰(피인용 다수)로 물성 제어 근거 확보"
C-L1-013,"재조합 콜라겐 펩타이드(RCP, RGD 강화형)",Recombinant collagen peptide (RCP),Cellnest; RCPhC1; 인간 I형 콜라겐 유래 재조합 펩타이드,L1,인간 I형 콜라겐 α1 사슬 기반 571 아미노산 재조합 펩타이드로 RGD 모티프 12개를 보유한 이종물질 배제 부착 기질,콜라겐 I 유래 세포 접착 도메인,선택,DOI:10.1007/s00253-005-0180-x,없음(특허 조사는 본 산출물 범위 외),FUJIFILM Manufacturing Europe B.V.,"Cellnest(연구용 시약 판매 중단, 확인일 2026-09-14)",연구용,미생물,"인간 I형 콜라겐 α1 사슬 기반 571 아미노산, RGD 12개 포함, 과거 4% 용액 또는 동결건조 분말 공급",공개 카탈로그 가격 미표시(확인일 2026-09-14),CollPlant rhCollagen; Advanced BioMatrix PureCol,연구용 시약으로서의 판매가 중단되어 신규 조달 불가 — 대체재 선정 필요,상,"제조사 및 공개 자료에서 조성·RGD 개수와 함께 연구용 판매 중단 사실을 확인, 미생물 발현 재조합 콜라겐·젤라틴 생산 리뷰로 생산계 근거 확보"
C-L1-014,"라미닌-111(마우스 EHS 천연, α1β1γ1)","Laminin-111, mouse EHS (alpha1-beta1-gamma1)",LN-111; EHS laminin; 천연 마우스 라미닌,L1,기저막 십자형 당단백질로 인테그린 α6β1·α3β1과 디스트로글리칸에 결합해 상피 극성과 신경돌기 신장을 유도,기저막 라미닌-111,조건부,DOI:10.1177/08853282251414276,없음(특허 조사는 본 산출물 범위 외),Corning Life Sciences,354232,연구용,동물,"1 mg/병, EHS 마우스 종양 유래 천연 라미닌, 기저막 코팅 및 배지 첨가용",공개 카탈로그 가격 미표시(확인일 2026-09-14),BioLamina LN111; Sigma L2020,마우스 종양 유래로 로트 편차·이종 면역원성; 니도젠 등 미량 공정 잔류물 혼입 가능,상,"Corning eCatalog에서 품번·규격 확인, 라미닌-111 개질 알지네이트로 망막 유사 구조를 만든 논문으로 오가노이드 적용 근거 확보 / 동일 물질의 제품 간 등급 역전을 해소(물질 단위 부여, 반려-005 반영)"
