성분,장,간,뇌,신장,폐,췌장,위,종양
어드밴스드 DMEM/F-12 (기본배지),필수(1×),"필수(1×, 분화 단계는 윌리엄스 E로 교체)","조건부(1×, iPSC 유도 단계는 TeSR/DMEM:F12+Neurobasal 계열)","조건부(1×, 유도 단계는 TeSR-E6·APEL2)","조건부(1×, 내배엽 유도 단계는 RPMI 1640)",필수(1×),필수(1×),필수(1×)
HEPES,필수(10 mM),"필수(10 mM, 간세포 분화배지 20 mM)","조건부(1% v/v 수준, 프로토콜별)",조건부(키트 배지 내장),조건부(1% v/v),필수(1×~10 mM),필수(10 mM),필수(10 mM)
글루타맥스 / L-글루타민,필수(1× = 2 mM),필수(1× 또는 2 mM),조건부(1×),필수(1×),필수(1% v/v),필수(1×),필수(1% v/v),필수(1×~2 mM)
B-27 (비타민 A 함유),필수(1× = 2% v/v),필수(1~2% v/v),"조건부(1×, 성숙 단계에서 비타민A 함유형으로 전환)",조건부(1×),필수(1×),미사용(비타민A 제거형 사용),필수(2% v/v),필수(1× = 2% v/v)
B-27 minus vitamin A,선택(라인별 비교 후 결정),선택,"필수(1×, 신경전구세포 조기분화 방지)",선택,선택,"필수(1×, GMP 췌장 오가노이드 표준)",선택,"조건부(1×, 자궁내막 종양 PDO에서 사용)"
N-2 보충제,조건부(1× = 1% v/v; Clevers 사람 장 레시피는 생략),필수(1% v/v),필수(1×),조건부(1×),필수(1×),필수(1×),필수(1% v/v),"조건부(1×, 췌장암 CSI 배지 등)"
N-아세틸-L-시스테인,필수(1.25 mM; 마우스 1 mM),필수(1.25 mM),조건부(1 mM),선택,조건부(1 mM),필수(1.25 mM),필수(1.25 mM),"조건부(1.25 mM — 대장암 PDO에서는 제거해도 성장 유지, 백금계 약물 반응을 왜곡하므로 스크리닝 배지에서는 제외 권장)"
니코틴아마이드,"조건부(확장 10 mM, 분화 시 전량 제거)","필수(10 mM, 간세포 분화배지에도 10 mM 유지)",미사용,미사용,미사용,필수(10 mM),필수(10 mM),"조건부(대장암 4 mM, 난소암 최소배지 OCM에 포함)"
EGF,필수(50 ng/mL),"필수(50 ng/mL, 간세포 분화 20 ng/mL)",미사용,조건부(내배엽·전구체 단계 10 ng/mL),조건부(3D 1·2단계 10 ng/mL),필수(50 ng/mL),필수(20~50 ng/mL),필수(HGSOC 15검체 조합 스크린에서 유일하게 없어서는 안 된 측분비 인자. 단 EGFR 표적약 스크리닝 시 1 ng/mL + 헤레귤린 10 ng/mL로 치환)
Noggin (재조합 또는 조건배지),필수(100 ng/mL 또는 CM 2~5% v/v; 분화 단계 중 EEC 상부빌러스 유도 시 제거),필수(100 ng/mL 또는 CM 10% v/v; 초기 3일 집중 투여),미사용(소분자 LDN-193189로 대체),미사용,조건부(RPE 등 특수 프로토콜),필수(25~100 ng/mL),필수(150 ng/mL),조건부(대장암·간암은 50~100 ng/mL 사용. 반면 HGSOC는 13/15 검체에서 Noggin 제거가 배양 성립의 전제였고 최종 난소암 최소배지 OCM에는 Noggin이 없다)
