essential_id,name_ko,name_en,layer,axis,tier,evidence_type,evidence_ref,experiment_summary,patent_ref,tissue_scope,quant_range,alternatives,open_issues,confidence,confidence_reason
N-001,β1 인테그린 매개 접착(총칭),beta1-integrin-mediated adhesion,L2,AX-1;AX-9,E0,OMIT,DOI:10.1073/pnas.2420595121,"대장 상피 오가노이드 배지에 β1 인테그린 알로스테릭 차단항체 AIIB2를 첨가하자 CellTiterGlo 생존세포량과 명시야 관찰 모두에서 오가노이드가 급속히 붕괴했다. 같은 논문에서 ITGA6·ITGAV를 CRISPR-Cas9 염기편집으로 파괴한 오가노이드는 Matrigel/BME 표준 조건에서 성장이 α6β1에 전면 의존, αVβ1에 부분 의존함을 보였다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),전체(상피 오가노이드); 검증 조직=대장,정량 근거 없음(생존세포량 상대비교),세균 유래 인테그린 활성화 단백질(Invasin) 단편으로 대체 가능,β1 차단은 배지 첨가 방식이므로 매트릭스 결합 리간드 밀도와의 정량적 대응관계는 미확립,상,"단일 원저이나 차단항체·유전자 녹아웃 두 독립 방식이 동일 결론, 전문에서 실험 조건 직접 확인"
N-002,α6β1 인테그린 리간드(라미닌-111 결합면),alpha6beta1 integrin ligand (laminin-111 binding),L2,AX-1,E0,OMIT;SUBST,DOI:10.1073/pnas.2420595121,"ITGA6 염기편집 오가노이드는 Matrigel/BME에서 성장이 소실됐고, α6β1은 대장 오가노이드에서 라미닌-111을 인식하는 유일한 인테그린 수용체로 기술됐다. 5 µg/mL Invasin 단편 코팅이 2% BME 코팅과 동등한 부착·콜로니 형성을 지지했다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장(대장),Invasin 코팅 5 µg/mL vs BME 2% (부착 ATP 발광 비교),Yersinia Invasin C말단 인테그린 결합 단편,3D 겔 내부(3D encapsulation)가 아닌 2D 코팅에서 검증된 대체임,상,전문에서 유전자 녹아웃 + 대체물 코팅 실험을 모두 확인
N-003,라미닌-111(전장 단백질),full-length laminin-111,L2,AX-1;AX-9,E1,OMIT;DOSE;SUBST,DOI:10.1002/adfm.202000893,"폴리아이소시아노펩타이드(PIC) 단독 겔과 RGD 결합 PIC(약 0.2 mM RGD)는 인간 간 오가노이드 증식을 지지하지 못했고, 라미닌-엔탁틴 복합체(LEC) 3 mg/mL을 더하자 Matrigel에 필적하는 형성·증식이 나타났다. LEC 1/2/3 mg/mL 농도반응에서 3 mg/mL이 최대였으며, LEC를 인간 재조합 라미닌-111로 치환해도 3명 중 2명 공여자에서 동등한 농도의존 증식을 보였다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),간(성체 LGR5+ 간 오가노이드),LEC 1~3 mg/mL 농도반응; 최적 3 mg/mL (1k PIC 1 mg/mL 배경),인간 재조합 라미닌-111 (hrLaminin-111) 1~3 mg/mL,공여자 3명 중 1명에서는 재조합 라미닌-111 치환 시 증식 저하 — 공여자 간 변동의 원인 미규명,상,무첨가 대조·농도반응·치환 세 종류 실험이 모두 같은 논문 본문에 제시됨
N-004,라미닌-엔탁틴 복합체(LEC),laminin-entactin complex,L2,AX-1,E1,DOSE;SUBST,DOI:10.1002/adfm.202000893;DOI:10.1038/s41467-020-18031-5,간 오가노이드에서 LEC는 1→3 mg/mL 농도의존적으로 증식을 증가시켰다 [전문 확인]. 마우스 배아체 기반 심장 오가노이드에서는 LN/ET 복합체와 FGF4 존재 하에서만 심방·심실 유사 구조로의 자기조직화가 진행되었다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),간; 심장,LEC 1~3 mg/mL (간); LN/ET + FGF4 (심장),재조합 라미닌-111 + 니도젠,LEC 안에서 라미닌과 엔탁틴 각각의 기여를 분리한 실험은 확보 실패,상,농도반응(간)과 자기조직화 유무(심장) 두 원저의 본문을 직접 확인
N-005,라미닌-111(합성 PEG 겔 내 제시),laminin-111 in synthetic PEG gel,L2,AX-1;AX-9,E1,SUBST,DOI:10.1038/s41586-025-09151-3,"약 100 Pa 8-arm PEG-VS 겔을 스크램블 대조 펩타이드(PEG-RDG), 라미닌-111(PEG-Lam), 콜라겐 모사 펩타이드(PEG-GFOGER), 두 가지 병용으로 나누어 초기 인간 뇌 오가노이드를 배양했다. 모든 조건에서 내강은 생겼으나 PEG-GFOGER는 내강 수가 현저히 적었고, PEG-Lam은 Matrigel과 유사한 팽창 내강을 형성했으며 전사체도 PEG-Lam·PEG-Lam-GFOGER가 Matrigel에 가장 가까웠다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),뇌(초기 신경상피),"PEG 1.75% w/v, 탄성률 약 100 Pa; 접착 펩타이드 1 mM [측정법: 원문에 측정법이 명시되지 않아 확인 실패 — 수치를 다른 측정법 값과 직접 비교하지 말 것]",GFOGER 단독은 열등; 라미닌-111 + GFOGER 병용이 최선,라미닌 도입 농도의 농도반응은 본문에 제시되지 않음,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-006,라미닌(조직 유래 겔 보충),laminin supplementation into tissue-derived gel,L2,AX-1;AX-9,E2,DOSE,DOI:10.1073/pnas.2208040119,"소 자궁내막 유래 하이드로겔 중 라미닌 함량이 낮은 P1 겔은 Matrigel·P3보다 오가노이드 수가 적었고, 소 자궁내막에서 분리한 라미닌을 P1 겔에 첨가하자 농도의존적으로 오가노이드 수가 증가했다. 다만 동시에 형태가 둥글어져 조직 특이적 선샘 구획이 사라졌다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),자궁내막(참고 조직),"라미닌 농도의존 증가(구체 농도값은 본문 그림 기준, 수치 미기재)",탈세포 조직 자체의 라미닌 함량 조절,라미닌 증량이 형성률은 올리지만 조직 유사 형태는 훼손 — 최적점 미정,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-007,라미닌-511 / 라미닌-521,laminin-511 / laminin-521,L2,AX-1;AX-9,E2,SUBST,DOI:10.1038/s41563-021-01085-1,"췌장 매트리솜 단백질체 분석에서 L511·L521은 정상·종양 췌장 모두에서 일관되게 풍부했다. 배양접시를 L511/L521로 사전 코팅하면 마우스·인간 췌장암세포가 우선 부착했고, 인테그린 α3·α6 기능차단 항체가 그 부착을 유의하게 감소시켰다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),췌장,"코팅 농도 5 µg/mL (LN511, LN521); 콜라겐-1 0.1 mg/mL; 피브로넥틴 5 µg/mL",GFOGER + PHSRN-K-RGD + BM결합 펩타이드 조합(CBF),2D 부착 실험 결과이며 3D 겔 내 L511/L521 제거 실험은 본문에 없음,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-008,"RGD 펩타이드(총칭, 합성 배경)","RGD peptide (generic, synthetic backbone)",L2,AX-1,E1,DOSE;OMIT,DOI:10.1002/advs.202004705;DOI:10.1038/s41565-023-01483-3;DOI:10.1002/advs.202001797,"HELP(히알루론산-엘라스틴 유사 단백질) 겔에서 비접착성 스크램블 RDG와 RGD를 혼합해 0~1 mM 범위로 적정했고, 강성·응력완화를 고정한 채 리간드 농도만 변화시켰다. 굳은 점탄성(Stiff VE) 겔에서는 0.5~0.75 mM 사이에 견고한 장 오가노이드 성장의 역치가 존재했다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),전체(배경 고분자에 따라 요구도 상이),RGD 0~1 mM 적정; 장 오가노이드 최적 0.5~1 mM (HELP),히알루론산 자체의 CD44 신호; 전장 라미닌; Invasin 단편,동일 RGD 농도라도 배경 고분자(HA·PIC·알지네이트·PEG)에 따라 결과가 반전 — 통일된 역치 없음,상,서로 독립된 3편 이상의 전문에서 제거·치환·농도반응 실험 조건을 직접 확인
N-009,"RGD 펩타이드(장 오가노이드, HA 배경)","RGD peptide (intestinal, HA backbone)",L2,AX-1;AX-9,E2,DOSE,DOI:10.1002/advs.202004705,"HELP 겔에서 RGD 0 mM 조건에서도 생존 가능한 엔테로이드가 형성되었고, 이는 히알루론산 신호만으로 일부 형성이 가능함을 시사한다. RGD를 함께 제시하면 성장이 개선되었다. 저자들은 앞선 합성 매트릭스 보고(RGD 없으면 형성·생존 불가)와 이 결과가 다르다고 명시했다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장(인간 환자 유래 엔테로이드),RGD 0 mM에서도 형성; 0.5~1 mM에서 최적,히알루론산-CD44 신호,같은 세포라도 배경 고분자가 PEG면 RGD 없이 형성 불가 — 배경 의존성의 기전 미규명,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-010,RGD 펩타이드(영양막 오가노이드),RGD peptide (trophoblast organoid),L2,AX-1;AX-9,E1,OMIT,DOI:10.1038/s41565-023-01483-3,DNA 가교 동적 매트릭스(DyNAtrix)에서 RGD를 뺀 DyNAtrix[−RGD] 조건은 인간 영양막 줄기세포의 증식이 낮고 오가노이드가 전혀 관찰되지 않았다. DyNAtrix[+RGD]에서는 1주 내에 다수의 오가노이드가 형성되어 수·크기·형태·생존율이 Matrigel과 근접했다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),영양막/태반(참고 조직),RGD 유무 이분 비교(농도값 본문 미기재),대체 근거 확보 실패,영양막 외 조직으로의 일반화 근거 없음,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
