delta_id,name_ko,prev_necessity,new_necessity,prev_conc,new_conc,change_kind,reason,evidence_type,evidence_ref,confidence
DL-001,어드밴스드 DMEM/F-12 (MD-001 → MD4-001),조건부,선택,1×,1× (이번 전제에서는 미사용 권고),필수도 변경,AlbuMAX II가 지질결합 소혈청알부민이고 제품 분류가 Animal Origin임을 제조사 공식 페이지에서 직접 확인했다. 지지체에서 동물유래를 전부 걷어낸 계에서 기본배지가 소 알부민을 들여오면 그 노력이 무의미해진다. 기본배지를 DMEM/F-12(단백질 무함유)로 바꾸고 알부민·인슐린·트랜스페린을 재조합품으로 개별 투여한다.,VENDOR,Thermo 12634010 제품페이지 (2026-09-16 확인),상
DL-002,DMEM/F-12 (일반) (MD-002 → MD4-002),선택,조건부,1×,1× (94 mL/100 mL),필수도 변경,단백질·지질·성장인자를 전혀 담지 않으므로 이종물질 없는 계의 표준 기본배지가 된다. 가격도 500 mL $55.50로 어드밴스드 제형($84.25)보다 낮다. ECMX-003에서 SUBST 근거(자궁내막암 PDO·마우스 장 ENR)로 오가노이드 수립이 확인되어 있다.,SUBST;VENDOR,PMC5627540 [전문 확인]; PMC10600233; Thermo 11320033 제품페이지 (2026-09-16 확인),상
DL-003,B-27 보충제 (비타민 A 함유) (MD-011 → MD4-011),조건부,필수,1× (2% v/v),1× (2% v/v) 유지,필수도 변경,사람 침샘 오가노이드의 완전 화학정의 배지에서 단일인자 제거 실험을 수행한 결과 B27 제거군의 오가노이드 형성효율이 유의하게 감소했다. ECMX-003 시점에는 B-27 제거 실험이 근거자료 170편 어디에도 없어 조건부였다. 제거 실험이 확보되었으므로 판정 기준(OMIT이 있어야 필수)에 따라 필수로 상향한다. 다만 확인된 조직은 사람 침샘 1건이다.,OMIT,PMC12923968 (10.1016/j.xcrm.2026.102612) [전문 확인],상
DL-004,B-27 보충제 — 이종 상태 (MD-011 → MD4-011 / MD4-067),조건부,필수,표준 제형 17504044,B-27 XenoFree A1486701로 교체,대체재 변경,제조사 조성표가 B-27의 단백질 성분을 BSA fraction V(동물유래)·카탈라아제(동물유래)·사람 재조합 인슐린·사람 트랜스페린·초과산화물불균화효소(동물유래)로 명시한다. 무혈청이라는 표기가 동물유래 무함유를 뜻하지 않는다는 가장 중요한 사례다. XenoFree 제형(A1486701)은 재조합·사람유래 성분만으로 재조성되었다. mL당 $15.90 → $35.20.,VENDOR,"Thermo B-27 조성표 media-formulation.250 (2026-09-16 확인); Thermo A1486701 (2026-09-16 확인, 10 mL $352.00)",상
DL-005,B-27 minus vitamin A (MD-012 → MD4-012),조건부,조건부,1×,1× (CTS B-27 XenoFree minus insulin A5047701 권장),대체재 변경,모체 제형을 공유하므로 BSA fraction V를 담는다. 비타민 A 축을 끄면서 이종물질도 없애려면 XenoFree 계열의 해당 제형으로 바꿔야 한다.,VENDOR,"Thermo B-27 조성표 media-formulation.250 (2026-09-16 확인); Thermo 12587010 (2026-09-16 확인, 10 mL $193.00)",상
DL-006,N-2 보충제 (MD-013 → MD4-013),조건부,조건부,1× (1% v/v),1× (1% v/v) 유지 — 이종 상태 불명,변경 없음 — 재확인,제조사 공식 페이지가 구성은 인슐린·철포화 홀로트랜스페린·프로게스테론·푸트레신·셀레나이트로 표시하나 트랜스페린과 인슐린의 유래를 표시하지 않는다. 확보 실패: 2026-09-16 기준 Thermo 17502048 페이지·조성표에 성분 유래 미표시. 완전 정의계를 원하면 ITS-X Select(MD4-068)로 기능을 옮기고 프로게스테론·푸트레신을 개별 투여한다.,VENDOR,Thermo 17502048 제품페이지 (2026-09-16 확인),중
DL-007,ITS / ITS+ 프리믹스 (MD-014 → MD4-014),조건부,조건부,1×,1× (ITS-X Select A4000046401),대체재 변경,"ECMX-003에서 품번 확보 실패였던 행이다. Gibco ITS-X(51500056)는 인슐린이 재조합이지만 트랜스페린이 사람유래 홀로트랜스페린이고, ITS-X Select(A4000046401)는 인슐린·트랜스페린 모두 비포유류 재조합 발현계에 Animal Origin-Free로 분류된다. 추가 비용은 10 mL당 $8.00(7.3%).",VENDOR,Thermo 51500056 및 A4000046401 제품페이지 (2026-09-16 확인),상
DL-008,재조합 인슐린 (MD-015 → MD4-015),조건부,조건부,5 µg/mL,5–10 µg/mL,농도 변경,"Sigma I2643이 효모 발현 재조합 사람 인슐린임을 확인해 이종유래 없음으로 확정했다. 그리고 오가노이드 배지에서 10 µg/mL을 쓴 전문 2편(침샘 확장배지, 췌장 PTOM)이 확인되어 실사용 범위를 5–10 µg/mL로 넓힌다.",REVIEW;VENDOR,"PMC9932530 [전문 확인]; PMC7779788 [전문 확인]; Sigma I2643 제품정보 (2026-09-16 확인); Thermo A11382IJ (2026-09-16 확인, 5 g $1,084.00)",상
DL-009,N-아세틸-L-시스테인 (MD-016 → MD4-016),조건부,조건부,1.25 mM,1.25 mM 유지,변경 없음 — 재확인,"방향이 반대인 제거 실험 2건이 확정되었다 — 대장암 PDO 스크리닝 배지에서는 제거가 무해했고 오히려 약물반응 상관을 개선했으며(ECMX-003), 사람 침샘 화학정의배지에서는 제거가 형성효율을 유의하게 낮췄다. 조건부 판정은 유지되지만 그 근거가 ""근거 부족""에서 ""조직 의존성이 실험으로 확인됨""으로 바뀐다. 순수 화학물질이라 이종 문제는 없다.",OMIT,PMC10898042 [전문 확인]; PMC12923968 [전문 확인],상
DL-010,니코틴아마이드 / 니아신아마이드 (MD-017 → MD4-017),조건부,조건부,10 mM,10 mM 유지,변경 없음 — 재확인,ECMX-003 시점에 REVIEW 근거만 가졌던 성분이다. 사람 침샘 화학정의배지의 단일인자 제거 실험에서 10 mM 니아신아마이드 제거군이 유의하게 나빠져 OMIT 근거가 처음 확보되었다. 그러나 분화배지에서는 전량 제거가 표준이고 iPSC 프로토콜에는 들어가지 않으므로 필수로 올리지 않는다.,OMIT,PMC12923968 [전문 확인],상
