param_id,param_name,condition,value,unit,method,effect,evidence_ref,confidence,confidence_reason
CP-001,콜라겐 I형 농도 → 저장탄성률 G′,"랫 꼬리건 I형 콜라겐 9 mg/mL, 무가교, 37 ℃ 30~60분 겔화","438 ± 87 (mean ± SEM, n=6)",Pa,동적 전단 레올로지(dynamic shear rheometry),고농도 무가교 콜라겐 겔의 기준 G′. 이후 모든 가교 효과의 대조값,PMC13492384[전문 확인],상,전문에 평균·SEM·n이 모두 명시됨
CP-002,콜라겐 I형 농도 → 저장탄성률 G′,"랫 꼬리건 I형 콜라겐 3 mg/mL, 무가교, 생체활성유리 0% 첨가",64.7,Pa,레올로지 주파수 스윕 G′,3 mg/mL 대의 저농도 겔은 수십 Pa 수준. 9 mg/mL 대비 약 7배 낮음,PMC11696724[전문 확인],상,전문에 단일 수치로 명시
CP-003,콜라겐 I형 농도 → 미세유체 주입 가능성,"미세유체 칩 겔 채널 주입, 상온 조작",≤6 (주입 가능) / 8 (주입 불가),mg/mL,"미세유체 채널 충전 시험(누출률 관찰, 누출 <30%를 합격으로 판정)",6 mg/mL까지는 누출 30% 미만으로 충전 가능하나 8 mg/mL는 점도 상승으로 주입 불가. 농도 상한의 공정적 한계,PMC11696724[전문 확인],상,합격 기준과 상·하한이 전문에 명시
CP-004,콜라겐 I형 용액 점도 η,"콜라겐 I형 2.0 mg/mL 용액, 미세유체 유입 속도 50 µm/s",6,mPa·s,점도계 측정값을 CFD 시뮬레이션 입력으로 사용,저농도 콜라겐 용액은 물의 약 6배 점도. 주입·프린팅 설계의 입력값,PMC11696724[전문 확인],상,전문에 단위와 함께 명시
CP-005,생체활성유리 나노입자 농도 → 저장탄성률 G′,콜라겐 3 mg/mL + BGN 1% (w/v),178,Pa,레올로지 주파수 스윕 G′,BGN 1%에서 G′가 무첨가 대비 약 3배 상승,PMC11696724[전문 확인],상,전문이 배수까지 명시(3배)
CP-006,생체활성유리 나노입자 농도 → 저장탄성률 G′,콜라겐 3 mg/mL + BGN 3% (w/v),761,Pa,레올로지 주파수 스윕 G′,BGN 3%에서 G′가 무첨가 대비 약 12배 상승. 무기 입자로 강성을 올리는 경로,PMC11696724[전문 확인],상,전문이 배수까지 명시(12배)
CP-007,글루타르알데하이드 가교 → 저장탄성률 G′,콜라겐 I형 9 mg/mL 겔을 2.5% 글루타르알데하이드에 하룻밤 침지 후 PBS 3회 세척,"5396 ± 1678 (mean ± SEM, n=4)",Pa,동적 전단 레올로지,무가교 438 Pa 대비 약 12배 상승. 다만 잔류 알데하이드 세포독성으로 세포 봉입 불가,PMC13492384[전문 확인],상,동일 논문 내 대조군과 직접 비교된 수치
CP-008,미생물 트랜스글루타미네이스 농도 → 저장탄성률 G′,콜라겐 I형 9 mg/mL 겔을 PBS 중 100 µg/mL mTG(Ajinomoto)에 하룻밤 침지 후 세척,"11839 ± 5423 (mean ± SEM, n=5)",Pa,동적 전단 레올로지,무가교 438 Pa 대비 약 27배 상승. 글루타르알데하이드보다 강하면서 효소 가교라 후처리 조건에서 세포 친화적,PMC13492384[전문 확인],상,"동일 논문 내 대조군과 직접 비교, 다만 SEM이 커서 로트 편차 큼"
CP-009,트랜스글루타미네이스 II 용량 → 섬유 정렬·세포 이동,"콜라겐 1 mg/mL 매트릭스에 재조합 인간 TGII 0.1 µg(1×) 또는 1 µg(10×)를 중화 직후 혼합, 세포 존재 하 가교",0.1 (1×) / 1 (10×),µg per gel,공초점 반사 이미징 기반 섬유 정렬·공극 정량 + 세포 이동속도 추적,1× TGII로 1 mg/mL 겔 내 세포 이동이 유의하게 감소(2 mg/mL에서는 변화 없음). 10× 투여는 미세구조·이동속도에 추가 효과 없음 = 용량 포화,PMC4589685[전문 확인],상,1×/10× 비교와 농도별 반응 차이가 모두 전문에 기재
CP-010,EDC 농도 → 세포 증식,콜라겐 섬유 및 지지체 가교,0.25→25 (섬유) / 6→96 (지지체),mM,"가교 후 세포 부착·증식 계수(문헌 종합, 리뷰 내 정리)","EDC 농도 상승에 따라 기계강도는 증가하나 세포 증식은 유의하게 감소하고, 6→96 mM 구간에서는 증식이 거의 소실. 강성-생존성 상충의 정량적 경계",PMC5123637[전문 확인],중,"리뷰 본문의 2차 인용 수치로, 원 논문 조건은 미확인"
